affinity,F,A,M
th,10.046036,2.92,9.39
th,10.518698,2.17,9.39
th,11.52,2.61,9.47
th,10.73,2.52,9.55
th,10.656574,2.45,9.56
th,9.38461,2.06,9.58
th,9.73,1.71,9.61
th,10.54,1.99,9.62
th,9.79453,1.84,9.65
th,10.97,2.231,9.67
th,11.841564,2.36,9.68
th,12.578518,2.44,9.72
th,11.378578,2.15,9.73
th,11.378578,2.15,9.73
th,9.919062,2.91,9.74
th,10.64,2.17,9.74
th,12.122506,2.36,9.81
th,8.67477,1.83,9.81
th,9.897736,2.08,9.86
th,11.493628,2.39,9.9
th,9.937058,3.2,9.95
th,10.528942,3.06,9.97
th,10.347696,2.08,9.97
th,10.347696,2.08,9.97
th,10.4496,2.17,10.2
th,9.12,1.79,10.2
th,9.45,1.49,10.31
th,11.151624,2.17,10.42
th,11.151624,2.17,10.42
th,11.093588,1.99,10.48
th,10.38297,2.55,10.55
th,11.118518,2.23,10.97
th,10.986454,2.19,11.03
th,9.26,1.71,11.04
th,9.690622,1.86,11.28
th,11.33,2.42,11.6
th,9.3,1.54,11.76
th,9.74,1.81,11.78
th,9.38,1.68,11.86
th,9.44,1.65,12.34
th,9.14,1.57,12.85
th,9.12,1.66,12.93
th,9.19,1.48,13.07
th,9.32,1.57,13.21
