Year,Month,Day,Longitude,Latitude,Depth,Hour,Minute,Second,Mw_unified,Relation
1900,2,24,44.87,38.45,,,,,5.6,Ms-Mw
1900,7,12,43.1,40.28,,,,,5.9,Ms-Mw
1901,4,3,44.3,40,15,0,57,,4.7,Ms-Mw
1901,5,20,50.48,36.39,,12,29,,5.6,Ms-Mw
1902,7,9,56.34,27.08,,3,38,,6.2,Ms-Mw
1902,9,5,48,39.5,20,4,33,,5.2,Ms-Mw
1902,10,26,47.8,39.7,14,11,37,,5.2,Ms-Mw
1903,1,2,54.9,36.5,25,0,7,15,5.4,Ms-Mw
1903,2,9,47.65,36.58,,5,18,,5.7,Ms-Mw
1903,3,22,59.71,33.16,,14,35,,6.1,Ms-Mw
1903,6,24,48.96,37.48,,16,56,,6,Ms-Mw
1903,9,25,58.23,35.18,,1,20,,5.9,Ms-Mw
1904,3,20,59.4,36.6,11,9,59,50,5.7,Ms-Mw
1904,7,16,47.8,39.4,15,12,1,,4.9,Ms-Mw
1904,11,9,59.77,36.94,,3,28,,6.3,Ms-Mw
1905,1,9,48.68,37,,6,17,,6,Ms-Mw
1905,4,25,56.03,27.67,,14,1,,5.9,Ms-Mw
1905,6,19,59.98,29.89,,1,27,,6,Ms-Mw
1905,10,16,43.1,40.6,33,3,0,,5.3,Ms-Mw
1906,3,20,49,38.9,15,23,45,,4.9,Ms-Mw
1906,9,28,43.1,40.6,9,7,30,50,5.1,Ms-Mw
1907,3,31,50,30,,14,12,,6,Ms-Mw
1907,4,12,45.4,39.2,20,2,1,10,4.9,Ms-Mw
1907,4,17,57.85,37.74,,8,36,,5.9,Ms-Mw
1907,12,23,46,38.7,21,14,25,,4.9,Ms-Mw
1908,9,28,44,38,,6,28,,6,Ms-Mw
1909,1,23,49.1,33.4,35,2,48,18,7.4,
1909,1,26,45.5,39.1,33,22,56,,5.3,Ms-Mw
1909,10,27,57.58,30.09,,18,45,,5.7,Ms-Mw
1909,12,30,46.3,38.9,15,15,15,,4.8,Ms-Mw
1910,1,25,44.5,40.2,33,1,54,,5.3,Ms-Mw
1910,3,8,44.5,40.8,33,2,25,,5.3,Ms-Mw
1910,12,4,48.8,38.8,33,14,2,,5.4,Ms-Mw
1911,4,18,57,31.2,50,18,14,36,6.1,
1911,4,29,57.58,30.36,,5,33,,5.7,Ms-Mw
1911,9,13,54.44,27.67,,3,22,,5.7,Ms-Mw
1912,2,24,59.5,37,10,14,36,38,5.7,Ms-Mw
1913,3,24,53.7,26.8,,10,34,,5.9,Ms-Mw
1913,4,16,48.5,38.7,33,6,0,,5.5,Ms-Mw
1913,4,25,58,39.5,,4,13,,5.4,Ms-Mw
1913,9,24,48.9,38.5,18,16,5,,4.9,Ms-Mw
1913,11,12,45.8,38.8,25,4,28,56,5.4,Ms-Mw
1914,11,1,45.4,38.4,33,21,53,26,5,Ms-Mw
1914,12,3,43.9,41,21,23,39,32,4.8,Ms-Mw
1915,2,28,43.1,37.7,33,12,47,24,5.6,Ms-Mw
1915,4,1,44.5,40.5,33,5,41,42,5.5,Ms-Mw
1916,2,11,59.5,36,7,20,53,20,5.1,Ms-Mw
1916,10,11,45.5,39.5,30,3,5,,4.9,Ms-Mw
1916,10,11,46.4,40.1,19,5,57,,5.2,Ms-Mw
1916,10,28,44.1,40.1,20,20,48,,5.2,Ms-Mw
1916,11,14,44.3,40.9,33,13,54,,5.4,Ms-Mw
1917,1,23,46.5,40.2,25,18,9,,4.8,Ms-Mw
1917,6,2,48.5,38,,0,28,12,5.4,Ms-Mw
1917,7,15,46.5,33.5,,21,22,10,5.4,Ms-Mw
1917,8,29,58.05,37.37,,13,0,0,5.8,Ms-Mw
1917,11,23,46.5,33.5,,4,17,30,5.8,Ms-Mw
1917,11,28,58.4,36.5,12,17,43,,5.9,Ms-Mw
1918,2,5,57.3,37.6,10,,,,5.7,Ms-Mw
1918,3,24,60.69,35.08,,23,14,,6,Ms-Mw
1919,1,8,47,40,33,10,12,53,5.6,Ms-Mw
1919,5,12,44.01,36.19,,22,30,0,5.8,Ms-Mw
1919,10,24,62.05,26.11,,20,32,0,5.7,Ms-Mw
1920,5,25,46.5,33.5,,11,39,55,5.7,Ms-Mw
1920,10,14,44,36.2,,,,,5,Ms-Mw
1922,3,21,50,33,,16,56,12,5.7,Ms-Mw
1923,2,4,57.3,37.6,10,,,,5.6,Ms-Mw
1923,5,12,45,40.5,33,22,57,23,5.5,Ms-Mw
1923,5,25,59.11,35.19,,22,21,0,5.7,Ms-Mw
1923,6,18,46,34.8,,4,18,40,5.2,Ms-Mw
1923,9,14,59.33,28.97,,8,10,0,5.7,Ms-Mw
1923,9,17,55,35.5,35,7,9,14,6.4,Ms-Mw
1923,9,22,56.5,29,35,20,47,38,6.8,Ms-Mw
1923,11,29,59.4,33.62,,3,36,0,5.7,Ms-Mw
1924,2,1,43.5,40.5,,17,20,0,4.8,Ms-Mw
1924,2,19,48.6,39.4,30,8,30,0,5.4,Ms-Mw
1924,6,30,53.8,27.5,,3,41,0,5.9,Ms-Mw
1924,7,3,55,35.5,,8,18,50,5.4,Ms-Mw
1924,9,23,46.5,40.3,17,2,22,0,5.2,Ms-Mw
1924,9,27,43.9,39.5,33,4,27,36,5.5,Ms-Mw
1924,11,10,48,35.5,,21,54,56,5.7,Ms-Mw
1925,3,12,55,39,,11,20,12,5.1,Ms-Mw
1925,5,2,60.05,35.21,33,2,57,33,5.2,Ms-Mw
1925,7,11,59.5,29.5,,21,52,22,5.1,Ms-Mw
1925,7,30,51.82,28.54,33,18,43,16,5.6,Ms-Mw
1925,7,30,44,35,,18,45,0,5.1,Ms-Mw
1925,9,24,55.4,26.6,,4,38,0,6,Ms-Mw
1925,12,10,57.8,37.1,,5,59,30,5.4,Ms-Mw
1925,12,14,58.1,34.6,,,,,5.7,Ms-Mw
1925,12,18,51.35,28.79,,5,53,39,5.7,Ms-Mw
1926,4,2,44,35,33,11,56,0,5.1,Ms-Mw
1926,4,23,55,27.5,,1,31,30,5.5,Ms-Mw
1926,5,19,59,26.5,35,21,13,55,5.7,Ms-Mw
1926,7,8,44,39.7,33,15,59,12,5.1,Ms-Mw
1926,10,22,43.74,40.9,,19,59,35,5.7,Ms-Mw
1926,10,25,44.1,40.9,,14,2,0,5.1,Ms-Mw
1927,1,13,46.4,40.2,42,18,27,0,5.2,Ms-Mw
1927,3,25,58.5,37.7,14,18,14,0,4.9,Ms-Mw
1927,5,9,56,27.5,35,10,31,47,6.1,Ms-Mw
1927,5,29,58.4,38.7,,18,10,0,5.1,Ms-Mw
1927,6,15,48,35.5,,6,46,10,4.8,Ms-Mw
1927,7,7,62,27,100,20,6,30,6.4,Ms-Mw
1927,7,22,53.5,34.5,35,3,55,10,6.1,Ms-Mw
1927,7,23,54,34.7,,20,17,46,5.8,Ms-Mw
1927,7,24,56,28.5,,13,23,12,5.2,Ms-Mw
1927,7,29,55,33.5,,11,33,12,5.2,Ms-Mw
1927,7,30,51.9,28.7,,4,4,40,5.1,Ms-Mw
1927,10,31,49,36.5,,6,23,0,4.8,Ms-Mw
1927,11,12,46.5,32.5,35,14,45,50,5.7,Ms-Mw
1927,11,15,48,33.5,,14,39,12,5.2,Ms-Mw
1927,11,16,53.8,27.5,,1,27,0,5.1,Ms-Mw
1927,12,14,63,24.7,,7,50,18,5.1,Ms-Mw
1928,3,8,60.1,31.54,,18,14,0,5.7,Ms-Mw
1928,3,24,48.17,38.14,18,10,53,29,5.4,Ms-Mw
1928,3,28,49,38.7,10,19,43,0,4.9,Ms-Mw
1928,4,14,55,35.5,,13,16,33,5.5,Ms-Mw
1928,4,15,51.9,28.7,,10,9,28,5.2,Ms-Mw
1928,4,26,55.4,37.4,10,15,40,1,5.2,Ms-Mw
1928,4,30,57.8,27.6,,11,19,48,5.1,Ms-Mw
1928,8,14,57.8,27.6,,0,9,9,5.1,Ms-Mw
1928,8,21,59.43,36.52,33,19,2,12,5.5,Ms-Mw
1928,8,27,51.9,28.7,,4,19,57,5.2,Ms-Mw
1928,9,18,53,32.5,,8,7,50,5.1,Ms-Mw
1928,11,4,43.8,40.7,20,17,5,9,4.8,Ms-Mw
1929,1,21,54.5,30.5,,15,48,5,5.2,Ms-Mw
1929,2,5,47.5,31.5,,1,57,13,5.1,Ms-Mw
1929,3,26,62,28,,14,0,10,5.4,Ms-Mw
1929,5,1,57.8,37.7,35,15,37,30,7.2,
1929,5,17,57,32,,19,33,33,5.1,Ms-Mw
1929,7,15,49.5,32,35,7,44,14,6.1,Ms-Mw
1929,7,16,51.9,28.7,,19,43,15,5.2,Ms-Mw
1929,8,7,44,35,33,20,22,25,5.2,Ms-Mw
1929,8,11,54.5,30.5,,10,8,16,5.1,Ms-Mw
1929,8,28,49,38.7,10,19,43,0,4.9,Ms-Mw
1929,9,3,62.25,26.5,110,12,7,39,6.4,Ms-Mw
1929,10,2,51.9,28.7,,11,51,54,5.1,Ms-Mw
1929,10,27,48.35,32.35,33,16,42,58,5.4,Ms-Mw
1929,10,29,54.5,27.5,35,5,53,39,5.7,Ms-Mw
1929,10,29,55,27.5,,10,32,36,5.2,Ms-Mw
1929,11,5,45.5,37.5,33,10,6,4,5,Ms-Mw
1929,11,20,55.5,27.5,,19,56,58,5.2,Ms-Mw
1929,12,24,60,37.5,33,19,54,35,5.1,Ms-Mw
1929,12,25,48.7,39.4,6,22,26,2,4.8,Ms-Mw
1930,2,15,51.83,28.7,33,19,7,4,4.9,Ms-Mw
1930,4,3,47,32.5,,6,32,58,5.2,Ms-Mw
1930,4,15,54,29,35,9,56,27,5.7,Ms-Mw
1930,4,16,43.8,38,,21,25,42,4.9,Ms-Mw
1930,5,6,44.6,38.24,35,22,34,23,7.1,
1930,5,8,45.5,37.7,33,14,23,30,5.4,Ms-Mw
1930,5,9,44,37,33,1,43,0,5.1,Ms-Mw
1930,5,9,43.5,37.5,33,21,8,0,5.1,Ms-Mw
1930,5,10,46,35,33,11,3,0,5.1,Ms-Mw
1930,5,11,55,27.5,35,22,35,46,6,Ms-Mw
1930,7,8,51.9,28.7,33,17,15,47,5.2,Ms-Mw
1930,8,4,43.7,40.8,33,12,20,50,5,Ms-Mw
1930,8,23,55.02,27.88,,10,53,0,6,Ms-Mw
1930,9,2,51.5,30,35,18,58,48,5.7,Ms-Mw
1930,10,2,51.99,35.76,,15,32,0,5.5,Ms-Mw
1930,10,6,58.5,37,,18,8,18,4.9,Ms-Mw
1930,10,18,51.4,29.4,33,1,2,22,5.1,Ms-Mw
1930,12,5,46.5,33.5,,5,56,48,5.1,Ms-Mw
1931,1,4,53,32.5,,20,10,48,5.1,Ms-Mw
1931,2,6,46.3,39.5,27,5,20,12,4.9,Ms-Mw
1931,2,12,46,39.5,12,5,33,7,4.9,Ms-Mw
1931,4,27,46,38.75,35,16,50,38,6.4,Ms-Mw
1931,5,3,54.5,30.5,,19,22,30,5.2,Ms-Mw
1931,5,5,54,26.5,35,6,42,15,5.7,Ms-Mw
1931,5,5,54.8,26,,14,10,45,5.2,Ms-Mw
1931,5,7,54.44,26.54,33,0,45,43,5.5,Ms-Mw
1931,5,21,44.3,39.5,24,12,0,54,4.9,Ms-Mw
1931,6,25,46.4,39.5,16,21,41,48,4.8,Ms-Mw
1931,7,4,45.6,38,33,21,0,50,5.2,Ms-Mw
1931,7,8,49.4,33.7,,13,13,13,4.9,Ms-Mw
1931,7,28,52,29.5,35,17,36,25,5.7,Ms-Mw
1931,8,8,57.63,35.56,35,8,54,16,5.7,Ms-Mw
1931,8,29,49,32,,12,30,0,5.1,Ms-Mw
1931,9,2,54.5,30.5,,3,28,23,5.1,Ms-Mw
1931,10,7,46.2,39.3,15,3,58,0,4.8,Ms-Mw
1931,10,13,43.2,35.6,33,7,36,42,5.4,Ms-Mw
1931,11,16,55,27.5,,8,25,5,5.2,Ms-Mw
1931,11,22,57.5,37.8,11,0,0,0,5.2,Ms-Mw
1931,12,24,44.55,38.65,33,23,0,10,5.2,Ms-Mw
1932,1,22,47,33,35,0,48,56,5.7,Ms-Mw
1932,2,4,62.25,26.5,35,21,18,9,5.7,Ms-Mw
1932,3,2,48.3,38.5,,9,0,37,4.8,Ms-Mw
1932,3,15,44.68,40.61,84,7,44,39,5.7,Ms-Mw
1932,3,15,48,34,35,10,18,6,5.7,Ms-Mw
1932,4,12,44.1,40.9,33,7,0,40,5.2,Ms-Mw
1932,4,18,64,25,35,11,23,21,6,Ms-Mw
1932,5,7,45,36.25,35,14,54,9,5.7,Ms-Mw
1932,5,20,53.5,36.5,35,19,16,11,5.7,Ms-Mw
1932,5,24,47.56,39.33,,23,29,45,5.2,Ms-Mw
1932,5,24,48.6,39.33,,23,31,55,5.1,Ms-Mw
1932,6,16,46.1,38.7,,12,9,0,5.1,Ms-Mw
1932,8,10,46.3,38.3,33,17,0,0,5,Ms-Mw
1932,9,8,58.5,31,35,7,25,32,5.7,Ms-Mw
1932,12,1,46.2,39.5,,7,30,0,4.8,Ms-Mw
1933,2,21,57.5,27.5,35,19,2,59,5.7,Ms-Mw
1933,4,16,48.34,38.82,146,6,54,45,5.2,Ms-Mw
1933,7,6,46.6,39.3,,7,7,16,5.7,Ms-Mw
1933,10,5,57.75,35,35,13,29,45,6,Ms-Mw
1933,11,6,46.6,39.3,33,7,7,16,5.7,Ms-Mw
1933,11,28,55.94,32.01,35,11,9,0,6.2,
1934,1,2,57.5,30,35,20,55,38,5.7,Ms-Mw
1934,2,4,51.75,30.5,35,13,27,14,6.1,Ms-Mw
1934,2,16,54.8,26,,7,59,53,5.1,Ms-Mw
1934,2,22,45,38.5,35,8,7,13,5.7,Ms-Mw
1934,2,26,57.5,27.5,,14,47,19,5.2,Ms-Mw
1934,3,19,52.5,27,,3,28,28,5.4,Ms-Mw
1934,4,6,52,29,,15,0,0,4.9,Ms-Mw
1934,6,13,62.5,27.5,80,22,10,28,6.9,Ms-Mw
1934,8,31,53.3,27.5,,0,40,2,5.2,Ms-Mw
1934,9,26,57.5,36.5,,1,7,2,5.4,Ms-Mw
1935,1,6,46.2,39.5,80,21,24,58,5.2,Ms-Mw
1935,4,11,53.5,36.5,35,23,14,43,6.7,Ms-Mw
1935,4,12,52.8,36,17,0,33,39,5.6,Ms-Mw
1935,4,19,43.1,39.6,33,0,0,0,5.3,Ms-Mw
1935,5,1,43.46,40.29,,10,25,0,6.1,Ms-Mw
1935,5,2,44.5,37,,10,13,0,5.2,Ms-Mw
1935,5,31,47.9,32,33,13,16,41,5.6,Ms-Mw
1935,8,18,43.1,39.6,,9,0,10,5.2,Ms-Mw
1935,9,22,61,29,,1,40,23,5.1,Ms-Mw
1935,10,15,51.31,28.9,33,17,2,45,5.1,Ms-Mw
1935,10,27,54.6,27.6,,6,43,9,5.2,Ms-Mw
1936,1,8,52.5,27,,12,34,43,5.2,Ms-Mw
1936,2,9,44.1,40.8,,1,50,0,5.1,Ms-Mw
1936,2,24,48,33.5,,16,29,31,5.4,Ms-Mw
1936,3,7,45.7,40.2,33,19,12,16,5.1,Ms-Mw
1936,4,17,55.7,28,,22,15,21,5.4,Ms-Mw
1936,4,21,55.28,26.29,,2,14,0,6.1,Ms-Mw
1936,5,1,43.1,39.6,33,10,24,44,5.7,Ms-Mw
1936,5,2,43.5,39.8,33,20,57,30,5.4,Ms-Mw
1936,6,10,64,26.5,,3,29,0,5.8,Ms-Mw
1936,6,10,64.61,25.98,33,17,11,8,5.6,Ms-Mw
1936,6,30,60,33,35,19,26,6,6.1,Ms-Mw
1936,8,16,55.6,26.6,,21,37,8,5.5,Ms-Mw
1936,8,20,51.54,30.42,33,2,8,46,5.4,Ms-Mw
1936,8,28,46.5,33.5,,0,19,50,5.1,Ms-Mw
1936,9,7,61,29,,8,52,30,5.2,Ms-Mw
1936,11,6,56.8,28.5,,20,27,12,5.2,Ms-Mw
1937,1,7,44.4,40.2,33,13,23,31,5.4,Ms-Mw
1937,2,13,56,31.5,,2,17,55,5.2,Ms-Mw
1937,3,7,45.4,38.77,33,19,10,56,5.1,Ms-Mw
1937,4,7,52.1,34.8,,18,30,59,5.7,Ms-Mw
1937,5,11,57.5,29.5,,16,2,17,5.1,Ms-Mw
1937,5,21,54,29,,21,56,24,5.1,Ms-Mw
1937,11,19,49.45,31.96,33,2,36,13,5.1,Ms-Mw
1938,1,26,45.78,33.44,,3,40,0,5.8,Ms-Mw
1938,4,23,53.2,27.3,,6,4,3,5.7,Ms-Mw
1938,7,19,59.35,34.92,33,19,45,27,5.2,Ms-Mw
1938,11,14,43.6,40.2,33,11,54,41,5.2,Ms-Mw
1938,12,19,57.96,36.23,33,18,56,52,5.5,Ms-Mw
1939,1,23,44.1,40.6,33,2,34,0,5.2,Ms-Mw
1939,1,25,50,31,35,11,2,22,5.7,Ms-Mw
1939,3,28,58,36.4,,21,35,0,5.4,Ms-Mw
1939,4,6,54.5,35.5,35,4,8,0,5.7,Ms-Mw
1939,6,3,56.47,34.61,33,0,1,49,5.2,Ms-Mw
1939,6,10,56.5,33.5,35,8,36,41,5.7,Ms-Mw
1939,6,30,56.6,34.2,,0,1,43,5.2,Ms-Mw
1939,7,24,53.2,27.3,,17,29,45,5.1,Ms-Mw
1939,8,18,54.5,27,,22,52,31,5.2,Ms-Mw
1939,8,28,58.58,36.14,33,21,35,33,5.4,Ms-Mw
1939,9,19,57.34,38.36,,3,23,0,6,Ms-Mw
1939,11,4,49.5,32,35,10,15,24,6,Ms-Mw
1939,11,8,57.97,36.32,,17,21,0,6.2,Ms-Mw
1940,5,4,58.1,35.8,,17,4,33,5.2,Ms-Mw
1940,5,4,58.25,35.25,35,21,1,54,6.4,Ms-Mw
1940,5,5,57.5,34.7,,6,1,30,5.2,Ms-Mw
1940,6,1,54.5,27,,15,10,0,5.1,Ms-Mw
1940,7,6,46.4,33.2,,7,20,14,5.2,Ms-Mw
1940,7,6,46.5,33.5,35,17,45,12,5.7,Ms-Mw
1940,7,11,47.6,39.5,18,1,23,33,5.4,Ms-Mw
1940,7,19,57.5,37.7,,4,53,26,5.2,Ms-Mw
1940,9,25,52.04,36.5,14,19,31,22,5.4,Ms-Mw
1940,10,18,43.75,38.57,128,12,26,19,5.7,Ms-Mw
1940,12,16,57,28,,9,51,15,5.1,Ms-Mw
1941,2,4,53.2,27.3,,19,9,7,5.1,Ms-Mw
1941,2,16,58.9,33.4,35,16,39,3,6.1,
1941,3,28,54.2,28.3,,21,13,19,5.5,Ms-Mw
1941,6,10,46.84,33.5,35,20,38,43,5.7,Ms-Mw
1941,6,15,53.2,27.3,,12,38,56,5.2,Ms-Mw
1941,8,28,47.3,33.4,,0,18,35,5.2,Ms-Mw
1941,9,10,43.39,39.07,28,21,53,56,6.1,Ms-Mw
1942,4,18,55,35.3,12,6,10,0,5.1,Ms-Mw
1942,5,17,48.3,39.2,22,18,46,0,4.9,Ms-Mw
1942,6,7,54.5,27,,10,47,43,5.2,Ms-Mw
1942,7,29,57.5,29.5,,20,22,4,5.4,Ms-Mw
1943,2,6,63,24.5,35,2,35,58,6.1,Ms-Mw
1943,12,31,61,28,,9,35,35,5.1,Ms-Mw
1944,4,5,54.5,36.7,13,18,6,2,5.6,Ms-Mw
1944,4,5,54.8,36,12,18,29,30,5.2,Ms-Mw
1944,6,28,45,36,33,2,57,21,5.7,Ms-Mw
1944,7,23,56.82,29.86,,12,0,0,5.7,Ms-Mw
1944,11,9,48.4,38,33,19,39,40,4.9,Ms-Mw
1945,1,11,55.4,26.3,,2,3,2,5.4,Ms-Mw
1945,1,15,43.5,38,33,5,30,1,5.4,Ms-Mw
1945,1,15,54.85,27.04,,17,21,0,5.7,Ms-Mw
1945,2,1,57.7,36.5,12,19,53,31,5.4,Ms-Mw
1945,3,12,47.3,33.4,,1,38,56,5.2,Ms-Mw
1945,5,11,52.4,35.18,33,20,17,28,5.2,Ms-Mw
1945,7,11,43.3,38.8,33,4,30,0,5.1,Ms-Mw
1945,7,29,43.3,38.47,33,8,56,49,5.3,Ms-Mw
1945,8,11,45,40.5,9,9,32,55,4.7,Ms-Mw
1945,9,5,57.5,38.3,11,1,33,40,5.1,Ms-Mw
1945,9,5,45,40.7,6,20,24,0,5,Ms-Mw
1945,11,20,43.39,38.44,,6,28,0,5.7,Ms-Mw
1945,11,27,63.47,25.02,35,21,56,50,8,
1946,2,10,59.26,32.55,33,13,13,25,5.5,Ms-Mw
1946,3,2,44.6,35.3,33,20,46,58,5.1,Ms-Mw
1946,3,12,51.45,29.8,,2,21,0,5.8,Ms-Mw
1946,5,7,43.1,38.9,15,4,27,31,4.8,Ms-Mw
1946,5,29,54.5,30.5,,23,14,31,5.1,Ms-Mw
1946,7,27,46,36,35,16,25,43,5.7,Ms-Mw
1946,8,17,46,35,35,9,48,6,5.7,Ms-Mw
1946,9,19,57.5,29.5,,0,11,20,5.2,Ms-Mw
1946,10,3,44,39.5,33,15,37,39,5.4,Ms-Mw
1946,11,4,54.5,39.75,35,21,47,47,7.4,Ms-Mw
1946,12,28,43.3,39,,0,0,0,5.1,Ms-Mw
1947,1,2,51.87,28.49,33,14,11,8,5.1,Ms-Mw
1947,2,20,45.4,40.3,,21,36,0,4.8,Ms-Mw
1947,4,19,43.1,37.9,33,17,39,12,5.4,Ms-Mw
1947,5,4,55.4,26.3,,0,49,55,5.2,Ms-Mw
1947,6,30,59,35.5,,3,36,40,4.9,Ms-Mw
1947,7,10,57.8,37.5,5,15,0,0,4.7,Ms-Mw
1947,7,13,57.52,37.58,33,14,51,30,5.1,Ms-Mw
1947,9,23,58.7,33.7,35,12,28,9,6.7,
1947,9,26,57.7,35.7,,12,0,0,4.9,Ms-Mw
1947,9,26,55,37,10,12,16,7,4.9,Ms-Mw
1947,10,3,58,27.5,35,6,13,51,6.1,Ms-Mw
1947,10,29,61,28,,22,5,38,5.1,Ms-Mw
1948,1,16,45.1,40.5,,2,13,0,4.5,Ms-Mw
1948,2,1,58,27,,23,38,24,5.5,Ms-Mw
1948,2,11,45.8,35.6,,15,31,9,5.2,Ms-Mw
1948,4,26,44.6,35.3,33,7,24,13,5.1,Ms-Mw
1948,6,17,49.44,36.59,,14,8,31,5.7,Ms-Mw
1948,6,18,57.96,37.53,,18,44,0,5.7,Ms-Mw
1948,7,5,57.73,29.88,,13,53,0,6,Ms-Mw
1948,7,30,49.12,31.41,43,3,30,14,5.7,Ms-Mw
1948,9,2,43.3,38.5,,0,0,0,4.9,Ms-Mw
1948,9,8,59,33.2,,11,18,11,5.1,Ms-Mw
1948,10,5,58.6,37.9,35,20,12,5,7.1,
1949,1,2,63.5,24.9,,12,50,22,5.7,Ms-Mw
1949,1,2,50,29,33,14,11,0,5.1,Ms-Mw
1949,1,11,57,37,,20,7,3,5.1,Ms-Mw
1949,3,3,57.2,38.5,,7,19,0,4.8,Ms-Mw
1949,3,6,51.44,30.01,33,16,36,47,5.6,Ms-Mw
1949,4,24,56.46,27.28,,4,22,0,6.2,Ms-Mw
1949,5,8,44.6,37.3,33,9,0,0,5.3,Ms-Mw
1949,6,3,44.4,40.5,33,6,53,45,5.3,Ms-Mw
1949,6,18,49,38.7,10,1,14,4,4.8,Ms-Mw
1949,6,22,45.5,34,,1,50,45,5.3,Ms-Mw
1949,7,8,43.1,40.6,33,21,15,0,5.3,Ms-Mw
1949,7,21,58.7,26.3,,21,26,0,5.4,Ms-Mw
1949,8,3,58.9,27.6,10,23,44,0,4.5,Ms-Mw
1949,8,28,57.5,36.7,10,22,17,39,5.1,Ms-Mw
1949,9,2,44.6,35.3,33,1,47,33,5.1,Ms-Mw
1949,9,5,57.2,37.8,11,19,19,0,4.8,Ms-Mw
1949,10,13,44.5,36.6,33,10,26,30,5.4,Ms-Mw
1949,11,5,55.16,37.16,33,15,5,44,5.6,Ms-Mw
1949,11,22,57,28,,15,21,16,5.7,Ms-Mw
1949,12,14,58.75,35.22,33,3,43,49,5.2,Ms-Mw
1949,12,16,54.5,27,,23,24,0,5.2,Ms-Mw
1949,12,17,57.03,37.53,33,1,13,18,5.3,Ms-Mw
1949,12,19,58.6,37.6,12,4,58,10,5.1,Ms-Mw
1950,1,19,52.83,27.31,,17,27,0,5.9,Ms-Mw
1950,1,30,45.5,33.59,,10,3,22,5.9,Ms-Mw
1950,2,14,55.26,36.87,94,0,6,7,5.1,Ms-Mw
1950,3,3,58.1,37.6,,22,53,0,4.8,Ms-Mw
1950,5,1,45.21,38.88,51,8,15,2,5.2,Ms-Mw
1950,5,9,58.37,37.93,,11,16,0,6,Ms-Mw
1950,5,27,48.6,39,,7,3,0,4.8,Ms-Mw
1950,5,31,58,38.3,11,4,32,16,4.8,Ms-Mw
1950,6,4,56.5,37.5,,9,0,0,4.8,Ms-Mw
1950,6,7,57,36,,12,57,0,4.8,Ms-Mw
1950,7,9,63.31,25.14,50,0,28,29,5.5,Ms-Mw
1950,7,16,57,38,,12,16,0,4.8,Ms-Mw
1950,7,20,56,37,,8,33,0,4.8,Ms-Mw
1950,9,24,60.7,34.5,,22,56,38,5.9,Ms-Mw
1950,9,25,60,35.7,,4,18,0,4.8,Ms-Mw
1950,9,29,54.6,40,,1,44,5,5.2,Ms-Mw
1950,11,12,57.92,32.31,31,16,37,30,5.1,Ms-Mw
1950,11,14,63.67,24.91,64,22,4,49,5.4,Ms-Mw
1950,11,25,44,37,33,17,18,39,5.1,Ms-Mw
1951,1,16,58.2,37.5,,23,37,56,4.8,Ms-Mw
1951,2,2,49,38.9,,3,52,0,4.8,Ms-Mw
1951,2,4,58.6,38.3,,17,46,30,4.8,Ms-Mw
1951,3,12,48.5,39.3,33,15,45,36,5.2,Ms-Mw
1951,3,15,44,38.4,,10,1,2,5.2,Ms-Mw
1951,4,22,52.1,34.8,,6,32,41,5.4,Ms-Mw
1951,5,11,57.6,37.6,,1,19,58,4.8,Ms-Mw
1951,6,5,48.33,36.18,81,3,34,59,5.1,Ms-Mw
1951,6,9,49.8,32.26,53,11,22,7,6.1,Ms-Mw
1951,6,17,56.8,35.6,,18,46,24,5.1,Ms-Mw
1951,7,8,57.7,36.7,,19,1,45,4.8,Ms-Mw
1951,7,19,51.89,28.1,72,22,27,37,5.2,Ms-Mw
1951,7,25,57.1,37.4,,23,9,36,4.8,Ms-Mw
1951,8,16,57.26,27.53,48,23,52,12,5.7,Ms-Mw
1951,10,8,56.31,32,,11,32,8,5.4,Ms-Mw
1951,10,28,53.4,27.93,42,1,53,42,5.4,Ms-Mw
1951,11,13,53.17,35.89,69,14,1,56,5.1,Ms-Mw
1951,11,15,57.5,38.9,,0,41,21,4.8,Ms-Mw
1951,12,30,57.08,27.14,,18,21,0,5.9,Ms-Mw
1952,4,18,45,38.5,,5,26,3,4.8,Ms-Mw
1952,5,1,45.5,38.5,,16,13,50,4.5,Ms-Mw
1952,5,26,58.8,37.9,,5,7,48,4.8,Ms-Mw
1952,6,24,57.4,37.3,11,7,46,0,4.9,Ms-Mw
1952,7,18,50.14,37.16,,0,43,54,5.2,Ms-Mw
1952,8,1,50.27,29.87,,10,31,14,5.4,Ms-Mw
1952,8,4,49.93,31.66,69,1,49,44,5.7,Ms-Mw
1952,8,13,46.81,34.19,81,14,30,56,5.7,Ms-Mw
1952,8,30,55.83,32.26,30,6,14,58,5.5,Ms-Mw
1952,9,15,58.19,38.1,,4,31,27,5.7,Ms-Mw
1952,9,20,62.09,26.97,90,18,41,23,5.1,Ms-Mw
1952,9,30,44.16,38.84,15,2,50,43,5,Ms-Mw
1952,10,9,54.33,36.65,,19,12,19,5.1,Ms-Mw
1952,12,4,53.54,27.62,14,15,0,59,5.2,Ms-Mw
1952,12,28,63.23,24.94,,18,40,20,5.3,Ms-Mw
1952,12,29,58.2,37.9,,17,36,50,5.4,Ms-Mw
1953,1,15,54.88,27.95,66,13,15,19,5.5,Ms-Mw
