lon,lat
6.02359961092299,4.45060069613741
4.38765066463001,6.19561290551659
-2.04708185745572,4.66872722230981
-7.50024501176565,4.34153743305122
-12.8443449029894,7.83156185180957
-16.3343693217477,11.4306495336541
-17.2068754264373,14.5934841631539
-16.0071795324891,17.974445318826
-16.8796856371787,21.5735330006706
-12.9534081660756,27.7901389965839
-9.57244701040342,30.4076573106527
-9.13619395805862,32.3707960462043
-6.51867564398986,34.0067449924972
-5.10085322386927,35.7517572018764
-4.55553690843828,34.988314360273
-1.50176554202472,35.0973776233592
1.55200582438884,36.624263306566
10.0589403451123,36.9514530958246
10.9314464498019,35.533630675704
10.3861301343709,34.3339347817558
12.2402056068363,32.9161123616353
15.7302300255947,32.1526695200319
19.0021279181806,30.1895307844803
20.310887075215,31.4982899415147
20.310887075215,32.2617327831181
22.492152336939,32.8070490985491
29.3631379113695,30.7348470999113
31.2172133838349,31.6073532046009
34.2709847502484,30.9529736260837
34.9253643287656,29.2079614167045
34.2709847502484,28.0082655227563
32.8531623301279,29.5351512059631
37.5428826428344,18.8469514235156
43.3232355864029,12.4122189014299
43.3232355864029,11.4306495336541
44.5229314803511,10.4490801658783
50.9576640024368,11.7578393229127
51.1757905286092,9.90376385044735
47.5767028467647,3.79622111762022
40.4875907461618,-2.7475746675517
39.1788315891274,-6.23759908631006
40.8147805354204,-10.4910663466718
40.596654009248,-14.8535968701197
39.1788315891274,-16.9257988687575
34.9253643287656,-19.7614437089987
35.688807170369,-23.796784443188
33.0712888563002,-25.5417966525672
32.5259725408693,-28.3774414928084
27.8362522281627,-33.1762250686011
24.8915441248353,-33.9396679102045
19.8746340228702,-34.8121740148941
18.0205585504048,-32.7399720162563
18.129621813491,-31.4312128592219
14.9667871839913,-24.88741707405
14.5305341316465,-22.2698987599812
12.0220790806639,-17.9073682365333
12.6764586591811,-13.2176479238268
13.9852178162155,-11.4726357144476
13.1127117115259,-7.32823171717204
11.3676995021467,-4.16539708767228
9.07737097733655,-0.675372668913923
10.0589403451123,3.14184153910303
8.75018118807795,4.77779048539601
6.24172613709538,4.34153743305122
