name,state,discovery date,ultimate production
Fairway,COLO,1978,343000
Faust,NEB,1978,60000
Hendriks,NEB,1978,123000
High Line,NEB,1978,138000
Howard,NEB,1978,70000
Jesse,COLO,1978,65000
Loco,COLO,1978,1687
Nike,NEB,1978,155950
Pocket,NEB,1978,89000
Polo,WYO,1978,3024
Short,NEB,1978,20000
Supaha,COLO,1978,45000
Tyson,NEB,1978,30690
Uranus,COLO,1978,115000
Zodiac,COLO,1978,1406
Apatite,NEB,1979,131000
Brook S.,NEB,1979,250000
Cheyenne,WYO,1979,3468
Ember,COLO,1979,32000
Hoolahan,COLO,1979,54000
Hot Dog,COLO,1979,524
Katie,COLO,1979,20000
Marker,NEB,1979,109000
Nugent,NEB,1979,172000
Orion,COLO,1979,5000
Parallel,WYO,1979,1116
Pinto North,COLO,1979,20000
Pole,NEB,1979,71000
Power Plant,NEB,1979,238000
Quail,COLO,1979,602000
Quarry,COLO,1979,38000
Quill,COLO,1979,460000
Rolling Hills,COLO,1979,17000
Snowdrift,COLO,1979,11729
Stubble,COLO,1979,2985
Table,NEB,1979,43516
Triple J,NEB,1979,84376
Zenith,COLO,1979,776000
Appaloosa,COLO,1980,125240
Arroyo,COLO,1980,1540000
Base Line,COLO,1980,1031000
Benish,NEB,1980,339
Big Horn Gulch,NEB,1980,91000
Brittannia,COLO,1980,55000
Bromley,COLO,1980,141000
Buckhorn,COLO,1980,294
Burchfield,NEB,1980,54482
Calumet,COLO,1980,5700
Chimney Rock,NEB,1980,31000
Dealer,COLO,1980,35000
Dry Gulch,COLO,1980,132
Emblem,COLO,1980,1282
Fence Post,COLO,1980,170000
Football,COLO,1980,12000
Gazelle,COLO,1980,46000
Icon,COLO,1980,776
Jupiter,COLO,1980,183000
Krauthead,COLO,1980,754910
Longhorn,COLO,1980,17491
Lyon,NEB,1980,35
Nimbus,COLO,1980,10789
Northeast Riverside,COLO,1980,542000
Oriole,COLO,1980,4500
Pheasant,COLO,1980,4000
Pollen,COLO,1980,250000
Porter,COLO,1980,39000
Prime,NEB,1980,105710
Quirt,COLO,1980,289
Running Creek,COLO,1980,36000
Santo,COLO,1980,7500
Silver,NEB,1980,55000
Thunder,NEB,1980,47772
Venus,COLO,1980,243
Whirlpool,COLO,1980,23500
Wildcat Creek,COLO,1980,84000
Acrobat,COLO,1981,1500
Albin W.,NEB,1981,106000
Banner Lakes,COLO,1981,958000
Boisen,NEB,1981,12000
Bracewell,COLO,1981,2660000
Brave,COLO,1981,27000
Bristle,COLO,1981,3000
Buck,"COLO,NEB",1981,14171
Butler,WYO,1981,2462
Caledonia,COLO,1981,905000
Carousel,COLO,1981,43000
Cauldron,COLO,1981,100000
Chalice,COLO,1981,80000
Chalk Bluffs,WYO,1981,1715
Coachman,COLO,1981,1131
County Line,COLO,1981,90000
DD,NEB,1981,2071
Dearfield,COLO,1981,6471
Electra,COLO,1981,48000
Ermine,COLO,1981,5000
Ferret,COLO,1981,11000
Flat Land,WYO,1981,28000
Full House,COLO,1981,132000
Gambler,COLO,1981,100000
Gambrel,COLO,1981,7004
Grandview,NEB,1981,557000
Granny,COLO,1981,7000
Gullible,COLO,1981,102000
Hagstrom,NEB,1981,18000
Hamil Ranch,COLO,1981,15000
Happy Dog,COLO,1981,12000
Heart,COLO,1981,10000
Impala,COLO,1981,6000
Intrepid,COLO,1981,53000
Ladle,COLO,1981,27
Lake Canal,COLO,1981,47500
Lakeside,COLO,1981,242000
Lapoudre,COLO,1981,127000
Lapoudre South,COLO,1981,528000
Lunar,COLO,1981,6000
North Riverside,COLO,1981,20000
Oasis,COLO,1981,185000
Pawnee Buttes,COLO,1981,1625
Pintail,COLO,1981,2690
Point of Rocks,COLO,1981,9155
Puma,COLO,1981,63000
Ramey,COLO,1981,14000
Razor,COLO,1981,15000
Reep,NEB,1981,55000
Roadside,COLO,1981,57000
Roughneck,COLO,1981,257000
Roulette,COLO,1981,160000
Rover,NEB,1981,7000
Sable,COLO,1981,231
Seven Cross,COLO,1981,13466
Shogun,NEB,1981,95941
Signal Hill,NEB,1981,7644
Silo,WYO,1981,1730000
Sonar,COLO,1981,238000
Top West,NEB,1981,495
Union Reservoir,COLO,1981,1598
Valentine,COLO,1981,199
Vortex,COLO,1981,1500000
Watkins,COLO,1981,756
Wildwood,COLO,1981,23553
Woodchuck,COLO,1981,24000
Anvil,COLO,1982,48500
Arcola,WYO,1982,9000
Baack,NEB,1982,62000
Barbwire,COLO,1982,148000
Burns,WYO,1982,2229
Coalbank Ck.,COLO,1982,17000
Conestoga,COLO,1982,573
Cypress,COLO,1982,127000
Eaton,COLO,1982,2710000
Firecreek,COLO,1982,10000
Greely,COLO,1982,1950000
Gun,WYO,1982,6000
Harvey,NEB,1982,41000
Hoffman Ck.,COLO,1982,118000
Hoy Gulch,COLO,1982,14000
Incline,COLO,1982,240000
Kettle,COLO,1982,2029
Kirk,NEB,1982,53228
Leather,COLO,1982,25000
Lynx,NEB,1982,203870
Marks Butte N.,COLO,1982,102000
Matador E.,NEB,1982,345000
Noonen Ranch S.,COLO,1982,77000
Nunn,COLO,1982,1191
Orchard West,COLO,1982,257
Owl Creek,COLO,1982,245000
Racoon,COLO,1982,27000
Ripple,COLO,1982,2501
Rodeo Bullfighter,COLO,1982,5000
Shoal,COLO,1982,15300
Tri State Canal,NEB,1982,18000
Unicorn,COLO,1982,12000
Valley,COLO,1982,197060
Wallbanger,COLO,1982,5832000
Wiggins,COLO,1982,149
Wyatt School,COLO,1982,18000
Albin E.,NEB,1983,18000
Black Hollow N.W.,COLO,1983,2107
Broken Fork,COLO,1983,202000
Chance,COLO,1983,1033
Chaney E.,NEB,1983,199000
Claude,NEB,1983,156000
Extol,NEB,1983,48000
Goose,COLO,1983,161000
Greasewood Flats,COLO,1983,9500
Hawk Springs,WYO,1983,11000
High Pockets,COLO,1983,530000
King Lake,COLO,1983,1243
KMA,NEB,1983,41000
Mako,COLO,1983,2500
Mescalero,COLO,1983,15000
Pad,NEB,1983,235000
Ratliff,NEB,1983,5500
Repose,NEB,1983,11000
Roman Nose N.,COLO,1983,100000
Serendipity,COLO,1983,22000
Severence,COLO,1983,197000
Tootsie,COLO,1983,233
Wickiup,COLO,1983,42000
William,NEB,1983,1379
Yuk,COLO,1983,52000
Acme,COLO,1984,2600
Arbor,COLO,1984,175000
Ault,COLO,1984,15000
Badger,NEB,1984,9000
Bassett,COLO,1984,1778
Bingo,COLO,1984,67000
Boneyard,COLO,1984,109000
Broker,COLO,1984,3000
Crazy Horse,COLO,1984,18000
Crow Creek,COLO,1984,4725
Galeton,COLO,1984,30000
Harlech,COLO,1984,16000
Hotspur,COLO,1984,160000
Huckebee,COLO,1984,1656
Judd,NEB,1984,38082
Kersey,COLO,1984,1125000
Mandella,COLO,1984,116000
Midnight,COLO,1984,60000
Millstone,NEB,1984,1342
Mouthpiece,COLO,1984,30000
Patrol North,COLO,1984,15000
Peak View,COLO,1984,618000
Rubicon,COLO,1984,43000
Sandy,COLO,1984,7481
Vedene S.W.,NEB,1984,74000
Vein,NEB,1984,66587
Wild Rose,COLO,1984,4700
Woodlin,COLO,1984,52000
Wringer,COLO,1984,963
Baker,COLO,1985,28733
Beaver Ck.,COLO,1985,190000
Bird,NEB,1985,29006
Bluebird,COLO,1985,760000
Boom,COLO,1985,60000
Bowl,COLO,1985,125000
Bud,COLO,1985,50000
Calichi,NEB,1985,28000
Camp Creek West,COLO,1985,63000
Cole,COLO,1985,25000
Erin,COLO,1985,22000
Ewing,NEB,1985,10000
First-One,COLO,1985,39000
Gravel,COLO,1985,809
Lindberg E.,WYO,1985,66000
Lueck,NEB,1985,58000
Overlook,COLO,1985,35000
Prairie E.,NEB,1985,582000
Prism,COLO,1985,52000
Runnymeade,COLO,1985,2000
Ruth,NEB,1985,216000
Sandia Peak,COLO,1985,15600
Schuler,NEB,1985,66434
Tom Cat,COLO,1985,17000
Tornado Butte,COLO,1985,47000
Yoder,WYO,1985,33000
Amazon,NEB,1986,94349
Bluebell South,COLO,1986,2500
Brittney,COLO,1986,50000
Bunting,COLO,1986,12000
Circle,COLO,1986,3000
Doodlebug,COLO,1986,6000
Kame S.,NEB,1986,3519
Lady K,COLO,1986,7000
Newport,NEB,1986,26000
Reflex,COLO,1986,5000
Mamoo,NEB,1987,23000
Platte,NEB,1987,100000
