ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
g50a	HASP	27.9	11051	38	1085	1188	30.6	186	5.04	194	217	853	68	830	68.4	168	23	106	29.8	2.62	33.8	5.78	39.5	8.33	24.2	22	3.08	18.9	3.2	3.04	13.5	1.94
g55a	HASP	26.5	12144	37	1181	1204	33.4	187	4.19	204	244	1277	80.2	936	80.5	203	27.5	125	34.2	2.85	39.3	6.53	44.4	9.5	27	25	3.53	27.6	3.52	1	15.2	2.54
r8a	HASP	30.2	13925	35	855	1271	27.5	58	0.33	207	241	1141	80.9	943	77.5	195	26.4	121	34.1	2.89	39	6.49	44.2	9.26	26.4	24.8	3.51	24.9	3.57	1.12	14.9	1.32
b6a	HASP	28.1	13493	34	1059	1199	28.6	80	1.01	213	266	1279	89.7	1055	86.4	219	29.6	133	37.2	3.22	42	7.13	49.3	10.3	29.7	27.1	3.94	27.3	3.86	0.02	16.4	2.1
b3a	HASP	30.5	14680	32	806	1248	22.4	41	0.24	227	273	1291	91.1	1088	89.4	223	30.6	139	38.2	3.16	44.1	7.48	50.3	10.6	30.6	28	4	28.5	3.99	0.07	17.3	1.47
b2a	HASP	27.2	12339	34	938	1228	47.2	141	0.4	193	229	1102	77.4	910	74.5	188	25.4	116	32.3	2.72	36.5	6.2	41.8	8.95	25.6	23.6	3.38	23.6	3.39	0.07	14.5	1.46
b1a	HASP	31.8	15181	33	821	1239	20.6	42	0.23	250	296	1401	96.7	1162	96.1	235	32.8	148	41.2	3.57	47.3	7.97	54.3	11.3	32.4	30.4	4.24	30.5	4.36	0.67	18.4	1.74
b88a	KREEP-rich	18.8	24386	56	1159	952	3.8	0.5	0.33	212	103	532	34.5	353	31	91.5	11	51.7	14.7	3.01	17.3	2.84	18.4	3.87	11	9.9	1.41	12.1	1.9	1.36	3.72	0.89
g26a	KREEP-rich	25	12520	56	2241	1174	40.6	88	2.31	137	213	1042	71.6	868	65.6	165	21.8	99	28.1	2.01	32.8	5.65	38.9	8.3	23.9	22.5	3.22	23.9	3.08	3.61	14.5	4.04
w2a	KREEP-rich	20.9	9982	24	936	908	20	137	35.6	156	315	1624	102	1241	101	256	33.8	154	42.7	2.31	49.4	8.43	58.2	12.3	35.4	32.6	4.6	35.7	4.37	7.39	21	4.27
b31a	KREEP-rich	23	17536	31	1287	1095	24.6	161	7.7	255	334	1666	73.8	1102	120	317	42.6	201	54.1	4.08	62.1	9.71	63.3	12.7	34.5	27.9	3.8	35.7	3.43	4.62	11.5	2.64
b27a	KREEP-rich	22.2	12392	27	1078	1052	17.3	55	18.5	189	316	1557	113	1357	102	267	34.5	156	42.3	2.85	49.5	8.38	58.1	12.2	35.1	32.5	4.58	35.4	4.74	8.03	20.6	4.44
b50a	KREEP-rich	25.7	13493	30	1146	1101	21.9	76	21	219	318	1539	110	1250	103	273	35.2	158	44.5	3.52	51.1	8.6	58.3	12.3	35.7	33.9	4.68	33.7	4.61	1.67	21.2	5.36
b51a	KREEP-rich	21.7	11127	26	1005	1009	17.7	86	25.2	165	317	1607	106	1293	104	275	35.6	160	44.5	2.52	50.3	8.61	58.7	12.5	35.7	33.3	4.63	35.6	4.51	8.23	21.2	4.47
b55a	KREEP-rich	22.4	15529	33	1417	1090	20	64	47.4	191	290	1456	106	1766	95.6	250	32.3	146	40.2	2.97	46.4	7.87	53.1	11.4	32.7	30.6	4.29	33.4	4.78	8.03	20.4	5.12
b83a	KREEP-rich	29.3	15336	33	1252	1132	22.5	97	17.2	216	300	1359	94.4	1114	93.6	236	31.3	144	40.3	3.26	47.3	7.86	54.5	11.5	33.5	31.1	4.4	30.2	4.2	1.67	19.1	4.34
b87a	KREEP-rich	21.8	13287	29	1192	935	23.7	123	14	218	230	1021	87.8	1533	72.9	187	24.3	113	31.6	3.4	35.8	6.2	42.6	8.96	25.7	23.7	3.45	24.2	3.98	7.16	19.8	5.38
g62a	KREEP-rich	22	11472	26	991	1024	19	72	19.3	181	304	1554	103	1264	98.3	250	33.2	150	41.8	2.8	48.1	8.27	55.8	11.7	34.4	31.5	4.47	34.4	4.47	7.43	20	4.4
g63a	KREEP-rich	22	9919	24	924	948	16.9	147	19.3	169	337	1745	110	1367	108	273	36.3	165	46.2	2.53	52.4	9.05	61.4	13	37.6	34.7	4.94	38.9	4.77	7.99	22.2	4.77
b52a	KREEP-rich	35.2	17856	46	1610	1159	16.8	9.3	3.04	181	130	600	41.2	526	37.9	98.4	13.3	62.2	17.2	2.22	20.7	3.56	23.8	5.12	14.7	13.2	1.87	14	1.89	0.57	7.03	1.43
g2a	KREEP-rich	33	15591	49	1608	1249	21	26	6.84	191	181	757	54.7	652	55.4	143	19.1	88	24.8	2.59	28	4.95	33.2	7.09	20.2	18.4	2.63	17	2.38	0.71	10.2	2.25
b24a	KREEP-rich	20.7	9200	28	1189	1007	15.5	18	17.9	175	286	1387	99.5	1093	92.2	239	31	140	39.4	2.49	45.1	7.63	52	11.1	32	30.1	4.26	30.9	4.16	0.7	19.5	6.58
b26a	KREEP-rich	34.4	15753	18	954	1399	7.7	1	8.92	175	519	2656	165	1587	166	440	57	257	71.4	3.04	83.8	14	95.7	19.9	57.1	51.3	7.29	58.3	7	11.9	32	4.04
b44a	KREEP-rich	28.5	12415	21	967	1299	18.2	95	16.1	175	414	2075	144	1418	133	348	45.1	201	55.9	2.65	64.2	11.1	75.8	16.1	46.9	44.1	6.17	45.8	5.98	10.8	28.9	6.97
b99a	KREEP-rich	29.6	11241	16	1055	1152	6.4	6	7.62	170	351	1625	132	1266	107	276	35.4	161	45.6	2.57	52.1	9.11	63.1	13.5	39.7	38.4	5.6	37.7	5.74	0.94	28.7	2.33
w7a	KREEP-rich	28.1	11834	43	1304	1311	53.4	193	0.92	169	208	994	69.3	812	67.2	170	22.9	105	29	2.31	33.2	5.67	38.5	8.09	23.3	21.4	3.01	22.2	3.03	4.43	13	1.74
