ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
w4a	basaltic	41.7	4412	165	4348	2124	66.1	118	2.35	53	48.2	209	13.7	141	13.6	35.2	4.65	21.7	6.12	0.66	7.61	1.24	8.75	1.91	5.55	5.09	0.75	4.74	0.62	0.88	2.36	0.55
bl9a	basaltic	45.3	23973	84	1794	1856	32.2	41	0.27	199	142	634	39.2	464	39.7	101	13.9	66.1	19.1	2.41	22.8	3.88	26.1	5.52	15.8	13.9	2.02	14.5	1.83	0.33	6.39	0.73
bl10a	basaltic	44	19399	83	1852	1868	35.8	53	0.11	153	137	615	40.7	439	39.1	98.3	13.4	63.1	18	1.85	21.4	3.62	25.3	5.3	15.3	14.1	2.01	14	1.84	0.27	7.35	0.88
b19a	basaltic	39.2	14765	75	2027	1625	35.5	103	3.62	192	127	754	39	566	37.9	95.7	12.9	59.3	17.2	2.1	20.1	3.36	23.8	4.86	14	13	1.87	16.7	1.78	2.06	6.31	1.46
b20a	basaltic	52.1	13981	74	2456	1859	30.8	81	3.95	111	112	478	33.7	306	31.4	82.9	11	51.1	14.9	1.44	17.9	2.92	20.5	4.31	12.7	11.7	1.68	10.8	1.57	2.25	5.44	1.35
b32a	basaltic	46.3	20833	76	1539	1767	37.8	92	0.22	157	149	709	43.9	491	43.6	109	15.1	70.7	20.2	1.86	23.8	4.04	27.7	5.66	16.5	15.2	2.18	15.9	2.05	0.25	8.11	0.93
g13a	basaltic	38.1	5775	151	3800	2164	81.8	132	0.92	51.4	31.6	135	7.39	78.8	8.5	21.9	3	14.3	4.27	0.56	5.01	0.85	5.82	1.24	3.51	3.1	0.46	3.1	0.37	0.4	1.17	0.28
g39a	basaltic	40.3	8018	107	2419	1818	55.6	107	0.09	92.8	88.1	403	26.8	284	26	65.5	9.04	41.8	11.9	1.11	13.7	2.31	16.2	3.4	10	9.3	1.29	9.05	1.21	0.05	4.84	0.61
r9a	basaltic	36.9	15902	83	2366	1484	125	736	1.01	147	168	771	54.3	628	50	127	16.9	77.4	22.2	1.93	25.8	4.34	30.7	6.51	18.6	17.3	2.42	17.1	2.39	0.13	9.92	2.1
r2a	basaltic	45.7	21543	84	2150	1768	33.9	63	1.46	185	106	417	25.7	283	27	70.8	9.78	46.8	13.7	1.96	17.4	2.9	19.9	4.1	11.9	10.7	1.58	10.1	1.26	0.13	4.33	0.96
r4a	basaltic	44	35236	76	2383	1721	45.6	183	5.04	189	135	606	41.8	472	37.1	95.3	13.1	61.4	17.9	2.35	21.9	3.65	24.9	5.21	15	13.7	1.93	14.2	2.19	0.44	6.54	1.57
r5a	basaltic	49.8	29776	83	1991	1921	24.8	14	0.25	217	87	343	23.4	261	21	54.7	7.71	37.2	11.1	2.28	13.9	2.36	15.9	3.35	9.36	8.8	1.25	8.48	1.21	0.16	3.52	0.55
r6a	basaltic	47	23208	119	2922	1909	50.3	147	0.31	171	82.3	319	16.1	168	20.9	55.8	7.86	38.3	11.5	1.89	14.7	2.32	15.6	3.18	8.66	7.42	1.08	7.64	0.82	0.28	2.22	0.52
w3a	basaltic	32.7	10371	72	1981	1472	37.3	128	2.17	151	163	776	54.4	623	52.6	136	18.2	82	22.5	2.16	25.7	4.53	30	6.5	18.4	17.1	2.53	17.3	2.59	0.74	9.78	1.96
b8a	basaltic	31	12682	65	1920	1383	29	24	9.13	146	204	853	70.3	708	63.3	164	21.5	97.9	27.7	2.05	31.8	5.44	37.5	7.84	23.1	21.1	3.02	19.1	3.02	0.98	12.4	3.02
bl8a	basaltic	42	19189	100	2605	1845	33.9	147	2.76	144	121	528	32.8	353	33.7	88.9	12.2	57.8	17	1.74	20.1	3.35	22.9	4.75	13.6	12.1	1.71	12.5	1.53	0.68	5.54	1.29
b56a	basaltic	34.3	22947	56	1704	1452	37.6	163	8.32	182	205	931	65	815	61.1	160	21.2	97.3	27.5	2.67	32.6	5.48	37.1	7.84	22.7	20.6	2.88	21	2.88	0.52	11.2	2.77
b69a	basaltic	36.9	12917	79	2071	1627	31.7	40	0.61	144	173	790	54.8	604	54.3	139	18.8	85.3	23.7	2.04	27.7	4.7	32	6.75	19.3	18	2.52	17.1	2.38	0.45	10.5	1.42
b73a	basaltic	35.8	16296	72	1996	1483	34.2	212	8.1	150	182	754	56.5	606	56.6	148	19.4	88.1	25.2	2.06	28.7	4.92	33.1	7.13	20.5	18.7	2.62	16.8	2.57	2.04	10.7	2.56
r7a	basaltic	41.6	18699	72	1946	1572	37.1	120	3.02	156	169	759	46.5	494	49.5	127	17	78.7	22.6	1.93	26.9	4.55	31.3	6.53	19.1	17.2	2.4	17.1	2.09	0.41	8.38	1.91
r10a	basaltic	37.4	19335	64	2328	1568	43.4	158	2.29	164	187	1784	57.9	629	55.7	142	18.8	86.5	24.6	2.25	29	4.9	34.3	7.17	21.1	20.5	2.99	43.1	2.62	0.24	11	2.98
b7a	basaltic	39.9	17813	110	2375	1706	31	85	1.44	141	102	409	25.1	265	30.3	79.5	10.7	51.2	14.6	1.68	17.2	2.87	19	3.93	11.1	9.69	1.39	9.26	1.15	0.06	4.02	0.95
w1a	feldspathic	11	1756	25	1022	647	9.9	12	0.22	143	8.3	30.6	2.3	30.2	2.11	5.63	0.75	3.58	1.03	0.77	1.22	0.23	1.51	0.34	0.93	0.91	0.14	0.74	0.12	0.01	0.35	0.11
c10a	feldspathic	6.6	2000	41	1784	590	13.5	37	0.08	179	7.4	31.9	2.88	42.5	2.14	6.07	0.81	3.62	1.02	1.13	1.23	0.2	1.4	0.29	0.83	0.74	0.11	0.7	0.16	0.04	0.29	0.15
c12a	feldspathic	16.4	5170	29	1388	776	7.9	3	2.2	178	118	551	40.9	438	37.2	94.7	12.6	57	15.6	1.64	18.4	3.17	21.4	4.46	13.2	12.4	1.8	12.1	1.7	0.4	7.94	1.58
c1a	feldspathic	10.1	1721	22	878	527	8.3	20	0.08	146	17.3	70.8	6.52	77.8	5.01	12.7	1.71	7.66	2.16	0.91	2.46	0.42	3.21	0.66	1.92	2	0.3	1.68	0.29	0.37	1.31	0.23
c2a	feldspathic	8	3987	28	1098	624	18.2	41	0.1	138	46.9	214	13.9	205	16.6	42.8	5.59	25.6	6.83	1.26	7.71	1.3	8.77	1.88	5.26	4.75	0.67	4.7	0.58	0.29	2.49	0.52
c3a	feldspathic	9.6	1289	44	2271	648	16.3	4	0.03	114	5.9	21.6	1.62	22.2	1.5	4.91	0.53	2.48	0.74	0.59	0.98	0.16	1.03	0.23	0.7	0.64	0.09	0.48	0.08	0.03	0.26	0.05
