Mw,Longitude,Latitude,Depth_km,Year,Month,Day,Hour,Minute,Second,Sigma_m,Mwe
6,-118,34,0,1769,7,28,0,0,0,0,6
5.5,-122,37.2,0,1781,10,9,0,0,0,0,5.5
5.5,-121.57,36.87,0,1800,10,11,0,0,0,0,5.5
6.3,-117.8,32.9,0,1800,11,22,21,30,0,0,6.3
5.5,-118.1,34.2,0,1803,4,1,0,0,0,0,5.5
5.5,-117.1,32.8,0,1803,5,25,0,0,0,0,5.5
5.5,-119.7,34.4,0,1806,3,25,8,0,0,0,5.5
5.5,-122.6,37.8,0,1808,6,21,0,0,0,0,5.5
7.5,-117.65,34.37,0,1812,12,8,15,0,0,0,7.5
7.1,-119.8,34.2,0,1812,12,21,19,0,0,0,7.1
6.3,-119.85,34.55,0,1821,1,1,0,0,0,0,6.3
5.5,-122.3,37.1,0,1825,9,1,0,0,0,0,5.5
5.5,-122.5,37.75,0,1827,4,3,0,0,0,0,5.5
6,-119,34,0,1827,9,24,4,0,0,0,6
6,-120.65,35.35,0,1830,1,1,0,0,0,0,6
6.4,-121.5,36.9,0,1836,6,10,15,30,0,0,6.4
7.4,-122.15,37.3,0,1838,6,1,0,0,0,0,7.4
7.3,-119.5,39.5,0,1852,1,1,0,0,0,0.4,7.3
6.5,-115,32.5,0,1852,11,29,20,0,0,0.5,6.5
5.5,-121.1,35.7,0,1853,2,1,0,0,0,0.33,5.5
6.3,-120.8,36.25,0,1853,9,2,0,0,0,0.33,6.3
5.5,-124.2,40.8,0,1853,10,23,11,0,0,0.33,5.5
6,-119.7,34.45,0,1854,5,31,12,50,0,0.33,6
6,-120.3,39.5,0,1855,1,25,6,0,0,0.33,6
4.79,-107,34,0,1855,4,20,5,0,0,0,4.79
6,-118.1,34.1,0,1855,7,11,4,15,0,0.33,6
5.5,-122.5,38.1,0,1855,8,27,11,0,0,0.4,5.5
5.9,-122.3,37.5,0,1856,2,15,13,25,0,0.25,5.9
5.5,-116.7,33.1,0,1856,9,21,7,30,0,0.33,5.5
7.9,-120.8,36.2,0,1857,1,9,16,24,0,0.15,7.9
5.6,-118.71,34.76,0,1857,1,10,6,40,0,0.33,5.6
6.3,-118.04,34.52,0,1857,1,16,0,0,0,0.33,6.3
6.3,-120,39.3,0,1857,9,3,3,5,0,0.33,6.3
6.2,-121.8,37.5,0,1858,11,26,8,35,0,0.25,6.2
6,-117.4,34.2,0,1858,12,16,10,0,0,0.33,6
6.5,-119.5,39.5,0,1860,3,15,19,0,0,0.33,6.5
6,-120.95,36.35,0,1860,4,17,3,30,0,0.33,6
5.5,-124.2,40.8,0,1860,11,13,0,0,0,0.33,5.5
5.8,-121.95,37.75,0,1861,7,4,0,11,0,0.25,5.8
6.2,-117.15,32.55,0,1862,5,27,20,0,0,0.33,6.2
4.8,-122.2,37.5,0,1863,12,19,22,38,0,0.35,4.8
6.1,-121.6,37.2,0,1864,2,26,13,47,0,0.25,6.1
4.5,-121,39.3,0,1864,8,18,13,18,0,0.33,4.5
4.7,-122.6,38.4,0,1865,3,8,14,30,0,0.33,4.7
5.5,-124.2,40.8,0,1865,10,1,17,15,0,0.33,5.5
6.5,-121.9,37.2,0,1865,10,8,20,46,0,0.15,6.5
6,-121.5,37.7,0,1866,7,15,6,30,0,0.25,6
4,-120.9,39.6,0,1867,12,2,8,20,0,0.33,4
6,-119.7,39.3,0,1868,5,30,5,10,0,0.33,6
5.6,-119.7,38.6,0,1868,9,17,16,55,0,0.33,5.6
7,-122.1,37.7,0,1868,10,21,15,53,0,0.2,7
5.28,-107,34,0,1869,4,18,13,0,0,0,5.28
5,-112,46.6,0,1869,5,22,0,0,0,0,5
5.6,-123.1,39.1,0,1869,10,8,9,30,0,0.33,5.6
4.8,-120.6,39.5,0,1869,12,21,4,0,0,0.33,4.8
6.4,-119.7,39.4,0,1869,12,27,1,55,0,0.33,6.4
6.3,-124.2,40.4,0,1871,3,2,21,5,0,0.2,6.3
5.5,-117.5,40,0,1872,3,23,21,41,0,0,5.5
7.6,-118.1,36.7,0,1872,3,26,10,30,0,0.1,7.6
4.9,-120.4,39.5,0,1872,3,28,13,0,0,0.33,4.9
6.8,-118.5,37.5,0,1872,4,11,19,0,0,0.33,6.8
5.8,-115,33,0,1872,5,3,1,0,0,0.33,5.8
6,-117,39,0,1872,11,12,0,0,0,0,6
5,-112.5,46.4,0,1872,12,10,23,30,0,0,5
7,-120.3,47.9,0,1872,12,15,5,40,0,0,7
5.5,-118,40,0,1873,11,5,17,0,0,0,5.5
6.9,-124.2,42,0,1873,11,23,5,0,0,0.33,6.9
4.3,-118.3,40.3,0,1874,11,29,0,0,0,0.333,4.3
6.2,-120.5,40.2,0,1875,1,24,12,0,0,0.33,6.2
4.79,-115.8,39.5,0,1875,4,2,2,0,0,0,4.79
5.9,-124,40.7,0,1875,9,30,12,30,0,0.33,5.9
6.2,-115.5,32.5,0,1875,11,15,22,30,0,0.33,6.2
3.68,-111.6,39.5,0,1876,3,22,0,0,0,0,3.68
4.2,-122.9,38.4,0,1876,5,29,18,55,0,0.33,4.2
5.5,-120.3,35.7,0,1877,5,30,10,30,0,0.33,5.5
5.5,-120,39,0,1877,7,10,7,10,0,0.33,5.5
6.3,-122.5,45.5,1,1877,10,12,17,0,0,0,6.3
7,-125.2,40.4,0,1878,5,9,4,25,0,0.2,7
4.79,-114.6,32.7,0,1878,12,17,23,30,0,0,4.79
5.9,-118.4,34.7,0,1880,4,12,4,30,0,0.33,5.9
5,-112.3,42,0,1880,7,11,22,0,0,0,5
4.79,-123,48,0,1880,8,22,21,25,0,0,4.79
4.3,-122.5,47.5,0,1880,12,13,4,40,0,0,4.3
5.9,-117,34,0,1880,12,19,23,35,0,0.33,5.9
5.6,-122,40,0,1881,1,7,2,25,0,0.33,5.6
6,-120.55,36.05,0,1881,2,2,0,11,0,0.33,6
5.5,-122.55,36.05,0,1881,2,2,5,0,0,0.33,5.5
4,-114.2,37.6,0,1881,3,26,3,0,0,0.333,4
6.3,-121.3,37.3,0,1881,4,10,10,0,0,0.2,6.3
4.79,-123,47,0,1882,5,1,6,50,0,0,4.79
6,-121.5,36.8,0,1883,3,30,15,45,0,0.25,6
5.8,-119.3,34.9,0,1883,9,5,12,30,0,0.33,5.8
6.1,-123.6,41.1,0,1884,1,28,7,30,0,0.6,6.1
5.9,-122.25,37,0,1884,3,26,0,40,0,0.25,5.9
4.2,-122.3,40.3,0,1884,6,6,9,0,0,0.33,4.2
5,-111.2,41.5,0,1884,11,9,2,0,0,0,5
6.3,-111.267,42,0,1884,11,10,8,50,0,0,6.3
6.1,-120.6,40.4,0,1885,1,31,5,45,0,0.33,6.1
5.5,-119.5,35,0,1885,4,7,10,30,0,0.33,5.5
6.5,-120.8,36.2,0,1885,4,12,4,5,0,0.33,6.5
5.8,-117.9,33,0,1885,9,13,12,34,0,0.33,5.8
4.9,-117.7,37.2,0,1886,4,14,3,20,0,0.4,4.9
7.37,-109.25,30.8,0,1887,5,3,9,0,0,0.333,7.17
6.5,-119.8,39.2,0,1887,6,3,10,48,0,0.33,6.5
4.79,-112.5,37.1,0,1887,12,5,15,30,0,0,4.79
5.5,-123.6,39.2,0,1888,2,18,10,50,0,0.33,5.5
4.2,-122.7,38.3,0,1888,2,29,22,50,0,0.33,4.2
4.6,-120.5,41.5,0,1888,4,14,3,30,0,0.33,4.6
6.2,-120.7,39.7,0,1888,4,29,4,48,0,0.33,6.2
4.79,-114.6,32.7,0,1888,8,19,11,0,0,0,4.79
4.5,-121.8,37.1,0,1888,9,17,11,51,0,0.33,4.5
4.3,-122.3,37.9,0,1888,11,18,22,28,0,0.33,4.3
5.6,-116.7,34.1,0,1889,2,7,5,20,0,0.33,5.6
5.5,-121.4,36.95,0,1889,4,15,3,28,0,0.35,5.5
6,-121.8,38.1,0,1889,5,19,11,10,0,0.15,6
6.2,-120.7,40.5,0,1889,6,20,6,0,0,0.33,6.2
5.6,-117.9,34.2,0,1889,8,28,2,15,0,0.33,5.6
6,-118.7,37.2,0,1889,9,30,5,20,0,0.33,6
6.8,-116.3,33.4,0,1890,2,9,12,6,0,0.33,6.8
6.3,-121.6,36.9,0,1890,4,24,11,36,0,0.15,6.3
4.79,-114.6,32.7,0,1890,6,11,1,54,0,0,4.79
6.3,-124.2,40.5,0,1890,7,26,9,40,0,0.25,6.3
5,-121.5,47.5,0,1891,3,8,3,40,0,0,5
3.68,-113.6,37.1,0,1891,4,20,13,55,0,0,3.68
6,-115,32,0,1891,7,30,14,10,0,0.33,6
4.24,-123.5,48,0,1891,11,29,23,21,0,0,4.24
4.79,-111.6,35.2,0,1892,2,2,8,30,0,0,4.79
5,-122.7,45.5,0,1892,2,4,4,30,0,0,5
7.3,-115.65,32.55,0,1892,2,24,7,20,0,0.2,7.3
4.79,-123,47,0,1892,4,17,22,50,0,0,4.79
6.6,-122,38.4,0,1892,4,19,10,50,0,0.2,6.6
5.5,-117.5,34.2,0,1892,6,14,13,25,0,0.33,5.5
5.9,-121.4,36.75,0,1892,11,13,12,45,0,0.2,5.9
5.3,-119,46,0,1893,3,6,17,3,0,0,5.3
5.8,-118.6,34.3,0,1893,4,4,19,40,0,0.33,5.8
4.79,-106.8,34.5,0,1893,4,8,3,20,0,0,4.79
5.8,-119.4,34.1,0,1893,5,19,0,35,0,0.33,5.8
5.28,-106.8,34.5,0,1893,9,7,0,0,0,0,5.28
4.79,-112,41.2,0,1894,7,18,22,50,0,0,4.79
6.2,-117.6,34.3,0,1894,7,30,5,12,0,0.33,6.2
6.5,-124.5,40.3,0,1894,9,30,17,36,0,0.33,6.5
6.1,-116.8,32.8,0,1894,10,23,23,3,0,0.33,6.1
5.5,-119.5,39.2,0,1894,11,18,10,49,0,0.4,5.5
5,-112.5,46,0,1895,9,6,19,20,0,0,5
4.3,-122.8,48.5,0,1896,1,4,6,15,0,0,4.3
4.9,-119.8,39.1,0,1896,1,27,21,1,0,0.4,4.9
5,-123.2,45.2,0,1896,4,2,11,17,0,0,5
6.3,-118.3,36.7,0,1896,8,17,11,30,0,0.33,6.3
4.79,-107,34,0,1897,1,1,0,0,0,0,4.79
4.3,-119.7,39.3,0,1897,5,15,19,4,0,0.4,4.3
5,-112,46.6,0,1897,6,5,12,22,0,0,5
6.3,-121.5,37,0,1897,6,20,20,14,0,0.15,6.3
6.4,-112.6,45.3,0,1897,11,4,9,29,0,0,6.4
6.4,-122.5,38.2,0,1898,3,31,7,43,0,0.15,6.4
6.7,-123.8,39.2,0,1898,4,15,7,7,0,0.2,6.7
7,-126,41,0,1899,4,16,13,40,0,0,7
6,-121.6,36.85,0,1899,4,30,22,41,0,0.2,6
6.4,-117.5,34.3,0,1899,7,22,20,32,0,0.15,6.4
6.7,-117,33.8,0,1899,12,25,12,25,0,0.2,6.7
5.28,-112.1,40,0,1900,8,1,7,45,0,0,5.28
6.4,-120.5,36,0,1901,3,3,7,45,0,0.33,6.4
5,-115.7,40.8,0,1901,7,26,22,20,0,0,5
5.94,-112.1,38.7,0,1901,11,14,4,32,0,0,5.94
6.8,-120,35,0,1902,3,22,22,12,0,0.333,6.6
5.5,-122,38.3,0,1902,5,19,18,31,0,0.33,5.5
4.5,-117.1,33.7,0,1902,6,11,2,45,0,0.33,4.5
5.77,-113.5,37.4,0,1902,11,17,19,50,0,0,5.77
7.1,-114,29,0,1902,12,12,23,10,0,0.333,6.9
6.5,-118.1,39.5,0,1903,1,1,0,0,0,0,6.5
6.6,-115,31.5,0,1903,1,24,5,0,0,0.333,6.6
4.79,-112,46.6,0,1903,3,15,17,57,0,0,4.79
5.9,-121.6,36.1,0,1903,3,25,7,45,0,0.33,5.9
4.5,-122,39.5,0,1903,7,24,20,26,0,0.33,4.5
6.2,-121.8,37.3,0,1903,8,3,6,49,0,0.2,6.2
4,-117.6,33.8,0,1903,9,16,12,10,0,0.33,4
5.3,-122.8,48.5,0,1904,3,17,4,20,0,0,5.3
4.5,-122.4,40.5,0,1904,4,16,9,20,0,0.33,4.5
4.5,-122,38.5,0,1904,7,30,10,26,0,0.33,4.5
4,-122.3,37.9,0,1904,12,14,15,10,0,0.33,4
5,-118.7,35.5,0,1905,1,6,14,30,0,0.33,5
4,-119.5,34,0,1905,3,19,4,40,0,0.33,4
6.1,-120.6,36.5,0,1905,5,26,2,50,0,0.33,6.1
5.28,-114.5,42.9,0,1905,11,11,21,29,0,0,5.28
5.8,-118.8,35.3,0,1905,12,23,22,23,0,0.33,5.8
4.63,-117.5,48.5,0,1906,1,3,13,42,0,0,4.63
6.33,-111.7,35.2,0,1906,1,25,21,32,30,0,6.33
4.5,-117,33,0,1906,3,3,20,25,0,0.33,4.5
7.8,-122.5,37.7,0,1906,4,18,13,12,21,0.1,7.8
6.2,-115.5,32.9,0,1906,4,19,0,30,0,0.33,6.2
4.3,-119.3,39.6,0,1906,4,20,4,15,0,0.4,4.3
6.4,-124.5,41,0,1906,4,23,9,10,0,0.33,6.4
4,-123,41,0,1906,5,10,14,57,0,0.33,4
4,-124,40,0,1906,5,19,4,54,0,0.33,4
5.9,-107.09,33.99,0,1906,7,16,19,0,0,0,5.9
5.7,-121.2,35.5,0,1906,12,7,6,40,0,0.33,5.7
6.4,-125.5,40.5,0,1907,8,11,12,19,0,0.333,6.4
5.8,-117.1,34.2,0,1907,9,20,1,54,0,0.2,5.8
7.2,-112.5,28,0,1907,10,16,14,57,18,0.333,7
4.3,-119.9,39.5,0,1907,11,22,9,30,0,0.4,4.3
5,-113.007,38.393,0,1908,4,15,0,0,0,0,5
4.5,-121.8,36.6,0,1908,4,25,11,33,0,0.33,4.5
5.5,-120.2,35.6,0,1908,4,27,10,50,0,0.33,5.5
4,-121.1,38.8,0,1908,5,30,19,38,0,0.33,4
5.8,-124,40.8,0,1908,8,18,10,59,0,0.33,5.8
6,-117,36,0,1908,11,4,8,37,0,0.33,6
5,-111.8,45.2,0,1908,12,20,23,30,0,0,5
6,-122.8,48.7,50,1909,1,11,23,49,0,0.333,5.8
4.5,-121.7,38.1,0,1909,2,14,15,55,0,0.33,4.5
5.9,-121,39.5,0,1909,6,23,7,24,0,0.33,5.9
5.6,-112.7,41.8,0,1909,10,6,2,41,0,0,5.6
6,-124.2,40.5,0,1909,10,29,6,45,0,0.33,6
4.5,-121.4,36.7,0,1909,11,22,15,21,0,0.33,4.5
4.79,-112.1,38.7,0,1910,1,10,13,0,0,0,4.79
5.8,-121.7,36.95,0,1910,3,11,6,52,0,0.25,5.8
6,-125,40,0,1910,3,19,0,11,0,0.33,6
5.8,-116.5,33.5,0,1910,4,11,7,57,0,0.33,5.8
5.4,-112.5,46,0,1910,4,19,8,30,0,0,5.4
6,-118.42,37.33,0,1910,5,6,16,40,0,0.33,6
6,-117.4,33.7,0,1910,5,15,15,47,0,0.18,6
4.19,-111.8,40.7,0,1910,5,22,14,28,0,0,4.19
5.87,-111.5,35.8,0,1910,9,24,4,5,0,0,5.87
5.5,-117,37.5,0,1910,11,7,17,20,0,0.4,5.5
6.1,-118,38,0,1910,11,21,23,23,0,0.4,6.1
4,-118.8,34.1,0,1911,5,10,13,40,0,0.33,4
6.4,-121.75,37.25,0,1911,7,1,22,0,0,0.2,6.4
4.5,-116.7,33.8,0,1911,8,11,23,40,0,0.33,4.5
5.5,-118.42,37.33,0,1912,1,5,3,52,0,0.33,5.5
6,-111.5,36,0,1912,8,18,21,12,0,0,6
4.5,-120.33,38.92,0,1912,8,31,4,53,0,0.33,4.5
3.9,-117.7,41,0,1913,3,28,11,24,0,0,3.9
4.79,-116.7,45.2,0,1913,10,14,23,0,0,0,4.79
4,-120.6,35.2,0,1913,10,20,11,25,0,0.33,4
4,-118,33.8,0,1913,10,21,9,38,0,0.33,4
4,-122.42,37.67,0,1913,10,25,9,45,0,0.33,4
4,-122.42,37.58,0,1914,1,24,3,33,0,0.33,4
6,-119.8,39.5,0,1914,4,24,8,34,0,0.33,6
4.73,-112,41.2,0,1914,5,13,17,15,0,0,4.73
4.5,-118.5,34,0,1914,11,8,11,40,0,0.33,4.5
5.5,-122,37.17,0,1914,11,9,2,31,0,0.25,5.5
5.7,-120.2,34.6,0,1915,1,12,4,31,0,0.2,5.7
5,-119.5,38.58,0,1915,4,5,23,11,0,0.33,5
6.75,-126.5,39.5,0,1915,5,6,12,9,0,0,6.75
5,-118.82,36.08,0,1915,5,29,6,46,0,0.33,5
6,-115.5,32.8,0,1915,6,23,3,59,0,0.2,6
4.41,-111.6,40.4,0,1915,7,15,22,0,0,0,4.41
5.6,-121.4,48.5,0,1915,8,18,14,4,0,0,5.6
4,-122.33,37.5,0,1915,10,1,15,26,0,0.33,4
7.15,-117.5,40.5,0,1915,10,3,6,52,48,0.333,6.95
4.5,-122.25,37.83,0,1915,10,8,5,26,0,0.33,4.5
4.3,-115.8,40.8,0,1915,11,17,21,35,0,0.333,4.3
6.6,-115,32,0,1915,11,21,0,13,42,0.1,6.6
4,-121.42,36.83,0,1915,12,27,7,23,0,0.33,4
6.5,-126,41,0,1915,12,31,12,20,0,0,6.5
4.9,-117.6,41.5,0,1916,2,14,6,0,0,0,4.9
4.79,-110.9,31.4,0,1916,3,30,5,47,0,0,4.79
5.3,-116.5,44.2,0,1916,5,13,2,26,0,0,5.3
4.5,-124.25,40.58,0,1916,7,5,4,40,0,0.33,4.5
4.5,-117,34.7,0,1916,7,16,11,50,0,0.33,4.5
5.8,-116.5,41.5,0,1916,8,3,14,22,38,0,5.8
5.8,-121.25,36.67,0,1916,8,6,19,38,0,0.33,5.8
4,-121.9,37.1,0,1916,8,8,16,50,0,0.33,4
5.7,-116.1,33.2,0,1916,9,30,2,11,0,0.33,5.7
5.5,-119,34.85,0,1916,10,23,2,44,0,0.33,5.5
4,-121.17,36,0,1916,10,24,13,30,0,0.33,4
5.9,-116.7,35.3,0,1916,11,10,9,11,0,0.33,5.9
4.6,-124.17,40.83,0,1917,3,3,16,0,0,0,4.6
4.7,-117.8,41.6,0,1917,3,28,11,16,0,0,4.7
4.5,-119.5,34.25,0,1917,4,13,3,59,0,0.33,4.5
4.3,-114.8,44,0,1917,4,20,4,30,0,0,4.3
5.5,-115.3,32.8,0,1917,5,28,6,6,0,0.33,5.5
4.8,-120.5,35,0,1917,7,26,8,33,0,0,4.8
4,-121.75,37.33,0,1917,10,26,9,20,0,0.33,4
5.3,-111.3,43,0,1917,12,12,10,50,0,0,5.3
4,-118.5,34,0,1918,3,6,18,20,0,0.33,4
6.8,-117,33.75,0,1918,4,21,22,32,25,0.3,6.8
5.6,-115.4,32.6,0,1918,5,1,4,32,0,0.33,5.6
6.8,-110.122,27.102,10,1918,5,23,11,57,40,0.333,6.6
4.7,-106.01,35.41,0,1918,5,28,11,30,0,0,4.7
6.5,-125,41,0,1918,7,15,0,23,0,0.33,6.5
6.8,-122.964,50.662,15,1918,12,6,8,41,2.7,0.333,6.6
6.8,-126.695,49.822,15,1918,12,6,8,41,7,0.333,6.6
5.7,-119.2,34.9,0,1919,2,16,15,57,0,0.33,5.7
4.5,-116,32.75,0,1919,2,19,4,58,0,0.33,4.5
4.5,-122.5,38.33,0,1919,2,25,22,39,0,0.33,4.5
5.9,-115,32.6,0,1919,10,1,19,30,0,0.33,5.9
4.5,-121.83,37.08,0,1919,11,25,11,3,0,0.33,4.5
5.2,-119.5,38.3,0,1919,12,19,13,59,0,0.33,5.2
5,-116.7,33.2,0,1920,1,1,2,35,0,0.33,5
5.5,-123,48.6,50,1920,1,24,7,10,0,0.333,5.3
4.5,-116,33,0,1920,5,18,6,25,0,0.33,4.5
4.5,-118.25,33.5,0,1920,6,18,10,8,0,0.33,4.5
4.9,-118.5,34,0,1920,6,22,2,48,0,0.33,4.9
5.2,-121.67,36.58,0,1920,10,5,19,3,58,0,5.2
4.5,-119.5,34.5,0,1920,12,5,11,58,0,0.33,4.5
4.5,-115.5,33,0,1920,12,20,14,47,0,0.33,4.5
4,-122,36.75,0,1921,6,12,3,42,0,0.33,4
4,-120.75,40.67,0,1921,7,21,20,17,0,0.33,4
4,-121.67,36.92,0,1921,7,25,5,5,0,0.33,4
5.5,-115.5,32.4,0,1921,9,8,19,24,0,0.33,5.5
5.77,-112.1,38.7,0,1921,10,1,15,32,0,0,5.77
7.3,-125.5,41,0,1922,1,31,13,17,22,0,7.3
6.3,-120.25,35.75,0,1922,3,10,11,21,20,0.33,6.3
5.5,-120.7,35.3,0,1922,9,5,9,5,0,0.33,5.5
5,-120.5,42,0,1923,1,11,4,29,0,0.33,5
7.2,-124.9,40.4,0,1923,1,22,9,4,18,0.33,7.2
5,-124.17,40.83,0,1923,2,9,11,14,0,0,5
4.79,-122.4,48.8,0,1923,2,12,18,19,0,0,4.79
4.3,-106.5,31.8,0,1923,3,7,5,3,0,0,4.3
6.2,-117.25,34,0,1923,7,23,7,30,26,0.15,6.2
4,-121.83,37,0,1923,9,19,22,54,0,0.33,4
5.5,-115.5,32.5,0,1923,11,7,23,57,0,0.33,5.5
4.8,-124.17,40.83,0,1924,1,9,10,22,0,0,4.8
4.6,-121.67,36.58,0,1924,3,9,11,33,29,0,4.6
4.5,-121.67,37.33,0,1924,4,3,23,54,0,0.33,4.5
5.34,-111.5,42.5,0,1924,11,25,7,10,0,0,5.34
4,-121.67,36.67,0,1924,12,28,4,21,0,0.33,4
4.8,-124.17,40.83,0,1925,1,26,5,45,45,0,4.8
6,-125,41.5,0,1925,6,4,12,2,52,0.33,6
6.86,-111.2,46.4,0,1925,6,28,2,5,27,0,6.86
6.8,-119.8,34.3,0,1925,6,29,14,42,16,0.13,6.8
4,-122,37.25,24,1925,7,19,19,24,0,0.33,4
4.5,-117,33.5,0,1925,8,8,10,13,0,0.33,4.5
4.8,-118.3,38,12,1925,8,21,11,14,0,0.33,4.8
5.5,-116,34,0,1926,4,3,20,8,0,0.33,5.5
5.5,-118.4,35.8,0,1926,6,30,13,31,0,0.33,5.5
5.8,-120.4,36.5,15,1926,7,25,17,57,49,0.33,5.8
5.5,-123,50,1,1926,9,17,22,14,0,0,5.5
6.1,-122.2,36.53,0,1926,10,22,12,35,7,0.33,6.1
6,-126,40.75,0,1926,12,10,8,38,53,0,6
5,-120.2,47.7,1,1926,12,30,17,57,0,0,5
5.8,-115.5,32.5,0,1927,1,1,8,16,45,0.33,5.8
4.9,-122.92,37.33,0,1927,5,28,17,36,17,0,4.9
5,-118.5,34,0,1927,8,4,12,24,0,0.33,5
5,-124.6,41,0,1927,8,20,20,5,44,0.33,5
5.5,-118.75,37.5,0,1927,9,18,2,7,7,0.33,5.5
7.1,-120.9,34.6,0,1927,11,4,13,50,53,0.13,7.1
4.2,-118,39.2,0,1927,12,29,0,10,0,0.333,4.2
4.6,-121.58,37,0,1928,1,9,2,45,0,0,4.6
4.79,-121.7,47.8,0,1928,2,2,12,52,0,0,4.79
5.8,-125.3,49,1,1928,2,9,11,5,0,0,5.8
4.9,-112,46.5,0,1928,2,29,22,38,0,0,4.9
3.3,-119.75,39.17,0,1928,3,16,3,30,0,0,3.3
4.7,-117.5,38.3,0,1928,3,26,16,26,7,0,4.7
5.5,-122.65,39.8,0,1928,4,15,21,57,15,0.33,5.5
4.5,-119.82,39.5,0,1928,4,17,10,39,0,0.33,4.5
5.2,-119.3,34.1,0,1928,4,18,21,40,0,0,5.2
4.5,-122.92,40.75,0,1928,6,4,5,30,0,0.33,4.5
4,-119.5,35.2,0,1928,6,9,8,22,0,0.33,4
4.8,-121.92,37.33,0,1928,8,9,6,35,0,0,4.8
5.2,-115.2,42.1,0,1928,9,5,5,36,0,0,5.2
5.5,-117,35,0,1928,9,5,14,42,0,0.33,5.5
5.5,-116.7,33.6,0,1928,10,2,19,1,0,0.33,5.5
4.2,-118.2,38.1,0,1928,10,16,4,17,0,0.33,4.2
6.4,-105.779,27.091,10,1928,11,1,4,12,54,0.333,6.2
3.4,-119.8,39.5,0,1929,2,4,15,57,0,0,3.4
5.6,-111.3,46.1,0,1929,2,16,3,0,0,0,5.6
4.5,-119,35,0,1929,3,13,2,28,0,0.33,4.5
4.7,-118.1,33.9,13,1929,7,8,16,46,6.7,0.33,4.7
4.6,-116.8,41.2,0,1929,9,10,20,1,0,0,4.6
5.1,-116.52,34.83,0,1929,9,26,20,0,22.7,0.33,5.1
4.6,-120.67,36.17,0,1929,10,15,22,3,10,0,4.6
4.4,-120.47,35.77,0,1929,11,9,2,30,42.1,0.33,4.4
4.5,-121,36.42,0,1929,11,26,8,5,0,0.33,4.5
5.5,-118.19,36.9,0,1929,11,28,19,49,0,0.33,5.5
4.5,-116.7,32,0,1929,12,2,11,24,0,0.33,4.5
4.5,-124,40.5,0,1929,12,4,12,29,0,0.33,4.5
4.5,-121.5,36.8,0,1930,1,9,8,6,0,0.33,4.5
5.5,-116.9,34.2,0,1930,1,16,0,24,33.9,0.33,5.5
4.5,-116,32,0,1930,2,7,23,23,0,0.33,4.5
4,-122,37.42,0,1930,2,11,21,21,0,0.33,4
5,-115.5,33,0,1930,2,26,2,30,0,0.33,5
5,-112,46.6,0,1930,3,16,6,0,0,0,5
4,-124.25,40.67,0,1930,3,27,21,30,0,0.33,4
4.3,-120,39.2,0,1930,4,9,21,57,0,0.33,4.3
4.5,-119.17,39.25,0,1930,4,12,12,56,40,0.333,4.3
4,-122.92,40.58,0,1930,4,29,20,13,0,0.33,4
4,-116.3,33.2,0,1930,5,12,4,14,0,0.33,4
4.2,-116.72,33.2,0,1930,5,12,17,25,48.5,0.33,4.2
4,-124.17,40.5,0,1930,5,15,15,30,0,0.33,4
4.1,-117.23,35.5,0,1930,5,29,7,12,16,0.33,4.1
5.8,-111,42.6,0,1930,6,12,9,15,0,0,5.8
4.5,-115.5,32.5,0,1930,6,26,22,9,0,0.33,4.5
4.5,-117.8,35.7,0,1930,7,7,12,9,0,0.33,4.5
4.79,-123.2,45,0,1930,7,19,2,38,0,0,4.79
5,-119.5,34.5,0,1930,8,5,11,25,0,0.33,5
5.2,-118.63,33.95,0,1930,8,31,0,40,36,0.33,5.2
5.5,-124.2,40.95,0,1930,9,23,2,58,0,0.33,5.5
4.5,-121.92,40.67,0,1930,10,29,12,37,0,0.33,4.5
4,-122.42,40.58,0,1930,10,29,19,50,0,0.33,4
5,-124.5,40.08,0,1930,12,11,8,58,55,0.333,4.8
5.5,-124.8,40.4,0,1930,12,11,9,0,0,0.33,5.5
4.5,-123.57,39.83,0,1930,12,12,9,32,0,0.33,4.5
4,-122.42,37.58,0,1931,1,5,9,43,0,0.33,4
5,-124.4,36.5,0,1931,1,6,23,28,40,0,5
4,-121.4,36.5,0,1931,1,6,23,28,40,0.33,4
4.1,-118.05,37.58,0,1931,1,17,8,7,20.6,0.33,4.1
4,-123.32,39.42,0,1931,1,20,10,30,0,0.33,4
3,-119.83,39.5,0,1931,1,21,11,20,0,0,3
4,-121.8,39.75,0,1931,1,24,7,21,0,0.33,4
4.79,-106.6,35.1,0,1931,2,5,4,48,0,0,4.79
4,-117.3,34.1,0,1931,2,16,13,27,0,0.33,4
4.5,-120.67,35.77,0,1931,2,23,10,33,0,0.33,4.5
5.6,-125,40,0,1931,3,10,3,28,53,0.33,5.6
4,-117.8,34.1,0,1931,3,31,20,33,0,0.33,4
5,-122.2,48.7,1,1931,4,18,3,55,0,0.333,5
4.3,-117.6,35.42,0,1931,4,23,23,34,7.3,0.33,4.3
4.4,-118.48,33.77,0,1931,4,24,18,27,54.8,0.33,4.4
4,-116.28,34.35,0,1931,4,27,23,7,58.6,0.33,4
4,-121,40,0,1931,6,4,5,38,0,0.4,4
4,-121.92,37.33,0,1931,6,10,12,20,0,0.33,4
4,-120.67,35.25,0,1931,7,21,12,8,0,0.33,4
6.55,-104.59,30.45,0,1931,8,16,11,40,22.3,0,6.55
4.5,-123,41.8,0,1931,9,2,15,34,28,0.33,4.5
