Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
"1275165",,Finland,Europe,ECRINS,"1","0",0.82,5.57,1.74,5.12,0.00,"3",6.3,0.029,2043.5,"80",5.30,3.5,28.007362,61.687761
"1275182",,Finland,Europe,ECRINS,"1","0",0.51,6.28,2.49,2.49,0.00,"3",4.9,0.010,2881.3,"90",3.74,1.2,27.525447,61.685705
"1275183",,Russia,Europe,MODIS,"1","0",0.34,2.37,1.15,1.53,0.00,"3",4.5,0.005,3535.3,"103",3.58,0.7,29.897386,61.685687
"1275186",,Finland,Europe,ECRINS,"1","0",0.24,3.40,1.96,1.22,0.00,"3",5.1,0.113,124.6,"88",5.08,13.6,27.581867,61.684770
"1275187",,Finland,Europe,ECRINS,"1","0",0.66,7.83,2.71,3.28,0.00,"3",5.0,0.152,249.9,"86",3.48,18.6,28.122908,61.684549
"1275247",,Finland,Europe,ECRINS,"1","0",0.77,7.43,2.39,4.22,0.00,"3",5.5,0.013,3760.9,"78",4.11,1.5,28.730208,61.679996
"1275248",,Finland,Europe,ECRINS,"1","0",0.68,5.29,1.81,2.70,0.00,"3",4.0,0.024,1303.7,"89",2.18,3.1,29.416335,61.679545
"1275263",,Finland,Europe,ECRINS,"1","0",0.44,4.62,1.97,1.58,0.00,"3",3.6,533.615,0.1,"66",2.06,54151.5,28.573287,61.678062
"1275278",,Russia,Europe,MODIS,"1","0",0.29,2.38,1.25,1.31,0.00,"3",4.5,0.003,5044.1,"94",3.68,0.4,30.067521,61.676033
"1275285",,Finland,Europe,ECRINS,"1","0",0.26,3.80,2.11,1.14,0.00,"3",4.4,0.090,146.8,"83",3.70,10.9,28.776202,61.675961
"1275316",,Finland,Europe,ECRINS,"1","0",0.14,2.40,1.82,1.03,0.00,"3",7.4,0.005,2382.0,"60",13.09,0.6,27.599620,61.673169
"1275332",,Finland,Europe,ECRINS,"1","0",0.30,5.00,2.58,1.69,0.00,"3",5.7,0.526,37.1,"69",5.91,65.3,27.283663,61.671724
"1275333",,Finland,Europe,ECRINS,"1","0",0.17,2.00,1.37,0.82,0.00,"3",4.8,0.002,4718.0,"67",5.06,0.2,27.947137,61.671585
"1275341",,Finland,Europe,ECRINS,"1","0",0.40,2.45,1.09,2.17,0.00,"3",5.4,0.023,1089.6,"76",4.79,2.7,27.957968,61.670646
"1275356",,Finland,Europe,ECRINS,"1","0",0.40,4.05,1.80,2.17,0.00,"3",5.4,0.014,1797.5,"102",4.86,1.7,27.097920,61.669822
"1275383",,Finland,Europe,ECRINS,"1","0",0.52,5.09,1.99,2.61,0.00,"3",5.0,0.083,364.5,"86",3.84,10.1,28.778125,61.667683
"1275388",,Finland,Europe,ECRINS,"1","0",0.24,2.80,1.62,1.19,0.00,"3",5.0,0.005,2744.2,"79",4.81,0.6,27.983016,61.667209
"1275391",,Russia,Europe,MODIS,"1","0",0.17,1.91,1.29,0.53,0.00,"3",3.0,0.033,184.7,"97",1.91,4.3,29.955960,61.666780
"1275401",,Finland,Europe,ECRINS,"1","0",0.53,4.12,1.59,2.58,0.00,"3",4.8,0.005,5980.3,"90",3.57,0.6,27.459375,61.666262
"1275420",,Finland,Europe,ECRINS,"1","0",0.41,3.78,1.66,2.36,0.00,"3",5.7,0.004,6818.2,"82",5.42,0.5,28.456239,61.664574
"1275449",,Finland,Europe,ECRINS,"1","0",0.24,2.60,1.50,1.11,0.00,"3",4.7,0.007,1839.2,"88",4.22,0.8,27.207686,61.662362
"1275455",,Finland,Europe,ECRINS,"1","0",0.35,3.80,1.82,1.93,0.00,"3",5.5,0.006,3725.4,"92",5.40,0.7,29.352987,61.661516
"1275469",,Finland,Europe,ECRINS,"1","0",0.33,3.00,1.48,1.62,0.00,"3",4.9,0.007,2673.1,"96",4.30,0.9,29.399529,61.660660
"1275471",,Finland,Europe,ECRINS,"1","0",0.88,8.20,2.46,4.98,0.00,"3",5.6,0.014,4120.7,"85",4.17,1.7,27.581248,61.660419
"1275472",,Finland,Europe,ECRINS,"1","0",0.20,2.20,1.39,0.70,0.00,"3",3.5,0.001,8137.4,"86",2.52,0.1,28.114585,61.660374
"1275488",,Russia,Europe,MODIS,"1","0",0.13,1.51,1.18,0.51,0.00,"3",4.0,0.038,155.5,"97",3.66,4.9,29.903924,61.658575
"1275504",,Russia,Europe,MODIS,"1","0",0.39,2.88,1.30,1.90,0.00,"3",4.9,0.008,2747.3,"103",4.00,1.0,29.998964,61.657239
"1275511",,Finland,Europe,ECRINS,"1","0",0.54,5.48,2.10,3.03,0.00,"3",5.6,0.030,1167.9,"92",4.74,3.7,27.404927,61.656595
"1275521",,Finland,Europe,ECRINS,"1","0",0.19,3.60,2.34,0.76,0.00,"3",4.0,0.008,1100.0,"90",3.36,1.0,27.271816,61.655027
"1275557",,Finland,Europe,ECRINS,"1","0",0.40,5.74,2.57,1.84,0.00,"3",4.6,0.003,7091.7,"86",3.54,0.3,27.419865,61.651242
"1275588",,Finland,Europe,ECRINS,"1","0",0.41,5.53,2.45,1.95,0.00,"3",4.8,0.007,3221.5,"77",3.83,0.8,27.374308,61.647691
"1275589",,Finland,Europe,ECRINS,"1","0",0.43,5.32,2.29,2.27,0.00,"3",5.3,0.064,410.2,"74",4.52,8.0,29.299580,61.647807
"1275598",,Finland,Europe,ECRINS,"1","0",0.80,7.86,2.48,5.03,0.00,"3",6.3,0.007,8309.2,"91",5.41,0.9,28.215625,61.646823
"1275606",,Finland,Europe,ECRINS,"1","0",0.15,1.80,1.32,0.61,0.00,"3",4.1,0.002,3502.7,"97",3.69,0.2,28.762871,61.646169
"1275616",,Russia,Europe,MODIS,"1","0",0.13,1.80,1.40,0.66,0.00,"3",5.1,0.001,7691.4,"131",6.09,0.1,30.050982,61.644709
"1275625",,Finland,Europe,ECRINS,"1","0",0.57,6.38,2.39,2.67,0.00,"3",4.7,1.150,26.9,"94",3.29,145.9,27.139258,61.643618
"1275626",,Finland,Europe,ECRINS,"1","0",0.21,3.00,1.85,0.87,0.00,"3",4.2,0.016,629.9,"80",3.50,1.9,29.297869,61.643683
"1275639",,Finland,Europe,ECRINS,"1","0",0.47,6.02,2.47,1.92,0.00,"3",4.1,0.016,1386.0,"85",2.58,1.9,27.525660,61.642089
"1275679",,Russia,Europe,MODIS,"1","0",0.23,2.02,1.19,0.80,0.00,"3",3.5,0.010,920.5,"98",2.35,1.3,29.840728,61.638436
"1275689",,Finland,Europe,ECRINS,"1","0",0.46,4.93,2.06,2.54,0.00,"3",5.6,0.025,1173.9,"65",5.01,3.1,28.641930,61.637661
"1275694",,Finland,Europe,ECRINS,"1","0",0.15,2.60,1.90,0.41,0.00,"3",2.8,0.003,1586.3,"82",1.65,0.4,28.295266,61.637193
"1275706",,Finland,Europe,ECRINS,"1","0",0.43,3.50,1.51,2.36,0.00,"3",5.5,0.038,717.8,"90",5.01,4.5,27.577083,61.635988
"1275707",,Finland,Europe,ECRINS,"1","0",0.40,4.52,2.01,2.35,0.00,"3",5.8,0.003,9065.5,"98",5.71,0.4,28.158768,61.635607
"1275708",,Russia,Europe,MODIS,"1","0",0.98,5.38,1.53,6.45,0.00,"3",6.6,0.198,377.2,"81",5.56,25.8,29.889858,61.635843
"1275719",,Finland,Europe,ECRINS,"1","0",0.16,2.80,1.98,0.61,0.00,"3",3.8,0.007,1001.8,"79",3.16,0.8,28.362206,61.633599
"1275741",,Finland,Europe,ECRINS,"1","0",0.78,7.42,2.36,4.36,0.00,"3",5.6,0.332,152.2,"78",4.21,40.0,27.465946,61.631454
"1275760",,Finland,Europe,ECRINS,"1","0",0.33,3.60,1.77,1.46,0.00,"3",4.5,0.013,1303.9,"65",3.50,1.6,29.741070,61.629614
"1275766",,Finland,Europe,ECRINS,"1","0",0.51,5.22,2.06,2.27,0.00,"3",4.4,0.596,44.1,"61",3.02,73.9,27.284960,61.628434
"1275767",,Russia,Europe,MODIS,"1","0",0.10,1.44,1.25,0.36,0.00,"3",3.4,0.005,837.6,"106",2.93,0.7,30.042677,61.628098
"1275784",,Finland,Europe,ECRINS,"1","0",0.57,6.88,2.58,3.65,0.00,"3",6.4,0.079,534.3,"85",6.27,10.3,26.924338,61.626223
"1275789",,Finland,Europe,ECRINS,"1","0",0.56,8.20,3.08,3.25,0.00,"3",5.8,0.041,917.6,"93",5.06,5.4,26.956077,61.625884
"1275799",,Finland,Europe,ECRINS,"1","0",0.23,3.40,2.01,1.40,0.00,"3",6.1,0.008,2018.8,"57",7.47,0.9,27.962321,61.625307
"1275807",,Finland,Europe,ECRINS,"1","0",0.28,4.00,2.14,1.79,0.00,"3",6.4,0.021,984.9,"86",7.86,2.5,28.453682,61.624543
"1275834",,Finland,Europe,ECRINS,"1","0",0.27,3.40,1.85,1.48,0.00,"3",5.5,0.002,8577.6,"93",5.82,0.3,28.426033,61.621906
"1275858",,Finland,Europe,ECRINS,"1","0",0.66,8.94,3.11,3.67,0.00,"3",5.6,1.261,33.7,"89",4.49,159.6,27.201035,61.619201
"1275895",,Finland,Europe,ECRINS,"1","0",0.21,3.00,1.85,0.94,0.00,"3",4.5,0.003,3626.1,"71",4.10,0.4,28.617750,61.614561
"1275906",,Finland,Europe,ECRINS,"1","0",0.40,4.30,1.93,1.99,0.00,"3",5.0,0.307,75.1,"80",4.23,38.2,29.173958,61.613947
"1275940",,Finland,Europe,ECRINS,"1","0",0.64,7.15,2.52,4.30,0.00,"3",6.7,0.044,1131.1,"89",6.63,5.3,28.017708,61.609205
"1275964",,Finland,Europe,ECRINS,"1","0",0.50,4.57,1.82,3.54,0.00,"3",7.0,0.003,13642.5,"72",7.82,0.4,26.920066,61.606895
"1275975",,Russia,Europe,MODIS,"1","0",0.28,2.26,1.20,1.57,0.00,"3",5.6,0.010,1812.3,"94",5.87,1.3,30.028562,61.605427
"1275985",,Finland,Europe,ECRINS,"1","0",0.11,2.20,1.88,0.49,0.00,"3",4.5,0.004,1416.2,"76",5.01,0.5,27.997335,61.604448
"1276002",,Finland,Europe,ECRINS,"1","0",0.13,2.20,1.73,0.64,0.00,"3",5.0,0.003,2487.5,"72",5.93,0.3,27.999658,61.601650
"1276012",,Finland,Europe,ECRINS,"1","0",0.31,3.80,1.93,2.15,0.00,"3",7.0,0.008,3112.8,"87",9.04,1.1,26.908159,61.600319
"1276013",,Finland,Europe,ECRINS,"1","0",0.86,6.15,1.88,4.27,0.00,"3",5.0,0.115,429.9,"117",3.26,14.9,27.002499,61.600283
"1276032",,Finland,Europe,ECRINS,"1","0",0.71,4.72,1.58,4.80,0.00,"3",6.7,0.042,1322.0,"93",6.43,5.2,29.135417,61.597916
"1276056",,Russia,Europe,MODIS,"1","0",0.56,4.00,1.50,3.88,0.00,"3",6.9,0.046,976.0,"88",7.27,6.0,29.861458,61.594627
"1276071",,Finland,Europe,ECRINS,"1","0",0.83,6.92,2.15,5.17,0.00,"3",6.2,0.100,598.3,"105",5.25,13.1,26.994792,61.593317
"1276083",,Finland,Europe,ECRINS,"1","0",0.41,3.49,1.54,1.44,0.00,"3",3.5,0.008,2088.4,"91",1.97,0.9,27.228605,61.592304
"1276084",,Finland,Europe,ECRINS,"1","0",0.53,4.28,1.66,2.72,0.00,"3",5.2,0.187,168.7,"89",4.09,23.1,28.963542,61.592306
"1276123",,Finland,Europe,ECRINS,"1","0",0.86,5.73,1.74,3.26,0.00,"3",3.8,0.127,296.8,"96",1.84,17.9,26.444968,61.588401
"1276148",,Finland,Europe,ECRINS,"1","0",0.56,6.18,2.32,2.50,0.00,"3",4.4,1.602,18.1,"84",2.90,202.2,27.211922,61.583825
"1276171",,Finland,Europe,ECRINS,"1","0",0.67,8.19,2.82,3.18,0.00,"3",4.8,0.383,96.2,"80",3.20,48.6,27.159689,61.579694
"1276174",,Finland,Europe,ECRINS,"1","0",0.94,5.61,1.63,5.17,0.00,"3",5.5,0.096,623.6,"89",3.88,13.4,26.654636,61.579393
"1276175",,Finland,Europe,ECRINS,"1","0",0.29,3.00,1.58,1.45,0.00,"3",5.1,0.006,2805.7,"80",4.71,0.7,28.443559,61.579468
"1276186",,Russia,Europe,MODIS,"1","0",0.40,3.13,1.41,2.05,0.00,"3",5.2,0.039,607.2,"96",4.50,5.2,30.042110,61.577884
"1276191",,Finland,Europe,ECRINS,"1","0",0.45,3.68,1.54,1.75,0.00,"3",3.9,0.081,250.6,"99",2.38,11.5,26.435552,61.576749
"1276195",,Finland,Europe,ECRINS,"1","0",0.43,4.02,1.73,2.04,0.00,"3",4.8,0.068,347.1,"83",3.71,8.1,27.375768,61.575851
"1276199",,Russia,Europe,MODIS,"1","0",0.15,1.70,1.23,0.60,0.00,"3",4.0,0.010,698.5,"89",3.55,1.3,30.080962,61.575113
"1276205",,Finland,Europe,ECRINS,"1","0",0.35,4.80,2.30,1.82,0.00,"3",5.2,0.063,333.6,"98",4.75,7.6,28.100200,61.574683
"1276210",,Finland,Europe,ECRINS,"1","0",0.19,3.00,1.95,0.90,0.00,"3",4.7,0.002,5188.1,"88",4.72,0.2,28.061727,61.573742
"1276237",,Finland,Europe,ECRINS,"1","0",0.37,4.60,2.14,1.50,0.00,"3",4.1,0.002,8663.5,"94",2.79,0.2,27.231096,61.569271
"1276243",,Finland,Europe,ECRINS,"1","0",0.22,3.80,2.29,0.93,0.00,"3",4.2,1.041,10.3,"77",3.55,131.7,27.183522,61.568348
"1276244",,Finland,Europe,ECRINS,"1","0",0.63,4.87,1.73,3.44,0.00,"3",5.5,0.010,3977.6,"103",4.36,1.2,28.956250,61.568120
"1276254",,Finland,Europe,ECRINS,"1","0",0.44,3.44,1.46,2.63,0.00,"3",6.0,0.008,3798.7,"87",5.80,1.0,29.062857,61.567317
"1276256",,Russia,Europe,MODIS,"1","0",0.34,2.52,1.21,1.72,0.00,"3",5.0,0.024,829.9,"96",4.34,3.3,30.036124,61.566773
"1276265",,Finland,Europe,ECRINS,"1","0",0.76,5.96,1.93,4.78,0.00,"3",6.3,0.127,436.0,"83",5.45,17.3,26.740625,61.564517
"1276270",,Finland,Europe,ECRINS,"1","0",0.82,5.20,1.61,5.64,0.00,"3",6.8,0.016,4082.4,"89",6.36,1.9,28.864657,61.564143
"1276275",,Russia,Europe,MODIS,"1","0",0.50,4.15,1.66,3.05,0.00,"3",6.1,0.304,116.1,"107",5.98,40.3,29.971733,61.563622
"1276278",,Finland,Europe,ECRINS,"1","0",0.12,2.40,1.96,0.63,0.00,"3",5.3,0.003,2427.1,"99",6.84,0.4,29.187143,61.563359
"1276299",,Finland,Europe,ECRINS,"1","0",0.42,3.85,1.68,1.91,0.00,"3",4.6,0.009,2453.3,"98",3.38,1.2,26.581250,61.560417
