AFFINITY	SAMPLE_ID	LATITUDE	LONGITUDE	SIO2(WT%)	TIO2(WT%)	AL2O3(WT%)	FE2O3(WT%)	FEO(WT%)	CAO(WT%)	MGO(WT%)	MNO(WT%)	K2O(WT%)	NA2O(WT%)	P2O5(WT%)	LA(PPM)	CE(PPM)	PR(PPM)	ND(PPM)	SM(PPM)	EU(PPM)	GD(PPM)	TB(PPM)	DY(PPM)	HO(PPM)	ER(PPM)	TM(PPM)	YB(PPM)	LU(PPM)	SC(PPM)	V(PPM)	CR(PPM)	CO(PPM)	NI(PPM)	CU(PPM)	ZN(PPM)	GA(PPM)	RB(PPM)	SR(PPM)	Y(PPM)	ZR(PPM)	NB(PPM)	SN(PPM)	CS(PPM)	BA(PPM)	HF(PPM)	TA(PPM)	PB(PPM)	TH(PPM)	U(PPM)
MORB	ISL1176-075-002	-52.828	11.37	50.27	2.21	14.99			10.08	5.42	0.18	0.85	3.81	0.35	18.1	41.3		22.5	5.55	1.88		0.92					3.38	0.52	37	285	69	44	36	61	95	17.6	16.5	279	35	190	24			167			
MORB	DUF0034-005	-43.8933	40.653	51.75	0.84	16.82			11.65	8.08	0.18	0.17	2.4	0.07	2.64	6.6		5.013	1.63	0.78	2.18		2.3		1.24		1.07		25	153	389	46	120	67	69		2.16	270.6	13.3	38	4			47			
MORB	AII0107-6-056-027	-54.397	5.137	48.71	0.76	18.29	1.17	7.86	12.22	8.83	0.17	0.05	2.33	0.06	1.47	5.37		4.17	1.73	0.74		0.45					2.81	0.44	41	27	187	50	176	91	55			76	25	44							
MORB	MELPROT-5-025-211	-44.815	35.847	49.28	1.59	15.52	1.36	9.06	11.18	7.59	0.15	0.5	2.55	0.26				12.76	3.753										38	281	257	48	126	66	87		8.61	193.2	34	122	15.6			76			0.707
MORB	POLANT4-4-004-068	-52.1	14.12	49.32	1.42	16.45			8.95	7.77	0.12	0.15	3.55	0.17	4.8	14.6	2.34	11.8	4.09	1.2	4.61	0.76	5.16		2.98		2.76		35	200	88	39	165	161	61		1.6	150	30	123	7.3			9			
MORB	AII0107-6-056-001	-54.397	5.137	49.45	1.71	15.49	1.39	9.29	10.8	7.28	0.19	0.23	3.26	0.19	3.87	15.6		11.4	4.35	1.53		0.97					4.4	0.67	36	252	223	46	106	50	91		2.6	111	42	126	2			17			
MORB	ARGCIRC-107	-24.35	69.833	49.56	0.97	17.6	0.87	7.2	11.68	8.65	0.15	0.14	2.68	0.14		6.54		6.54	2.21	0.962	3.34		3.79		2.42		2.45	0.41	50	200	300	37	130	94		18	1.29	159	31	65				26			
MORB	POLANT4-4-002-001	-52.22	14.63	49.6	1.24	19.19			12.19	6.331	0.1	0.74	3.22	0.22	11.6	24.9	3.03	12.5	2.96	1.02	3.19	0.5	3		1.65		1.47		25	151	347	34	111	41	55		10.7	358	21	105	24			171			
MORB	POLANT4-4-003-014	-53.12	14.5	50.05	1.85	16.57			10.78	5.84	0.21	1.35	3.97	0.43	29.2	53.7	6.29	24.5	5.24	1.72	5.19	0.82	4.92		2.78		2.47		28	251	54	38	53	57	72		69	414	27	169	52			383			
MORB	AII0107-6-057-002	-54.045	7.223	50.29	1.87	15	1.32	8.8	10.79	8.5	0.18	0.37	2.53	0.22	8.9	21.6		14.1	4.55	1.69		0.95					3.52	0.47	40	275	321	49	166	65	92		6.8	200	34	129	10.8			70			
MORB	POLANT4-4-005-036	-52.28	13.68	50.34	1.44	16.28			10.1	9.05	0.19	0.52	3.46	0.23	8.96	23.7	3.11	14.1	3.71	1.21	4.33	0.74	4.85		2.8		2.45		33	214	309	47	186	47	65		9	214	29	129	15.6			93			
MORB	MELPROT-5-028-026	-43.377	39.852	50.35	1.62	15.44	1.38	9.19	10.83	6.79	0.19	0.52	2.78	0.19				11.97	3.752										40	296	153	50	84	57	89		6.87	188	31	109	8.5			138			0.828
MORB	MELPROT-5-026-001	-44.733	37.07	51.3	1.71	15.31	1.32	8.83	11.22	5.05	0.13	0.51	2.92	0.22				13.74	4.384										41	305	259	37	67	44	93		9.47	134.3	41	128	11.4			59			0.895
MORB	AII0107-6-033-001	-54.648	0.068	50.81	2.13	14.62			10.45	5.79	0.19	0.61	3.42	0.31															39	222	64	43	41	75	104		10.9	254	37	180	20			123					
MORB	AII0107-6-034-015	-54.635	0.127	51.3	2.65	14.44			9.28	5.01	0.2	0.95	3.56	0.49															34	242	40	40	30	53	121		17.7	304	44	260	32			180					
MORB	AII0093-6-013-003	-25.78	70.183	50.78	1.05	16.32	0.93	6.92	11.76	8.83	0.16	0.07	2.95	0.13	2.64	9.2		7.9	2.45	1		0.59					2.49	0.38	34	224	382	39.1	120	75	63	15	1	146	24	79	2.2			28	1.6		4.8		
MORB	AII0093-6-011-016	-24.675	70.045	50.82	1.42	15.77	1.92	7.24	11.21	7.82	0.17	0.1	3.06	0.17	6.3	11.2		10.3	3.4	1.3		0.86					3.27	0.49	34.2	279	285	39	105	57	79	16	1	135	33.7	104	2.4			17	2.3		0.738		
MORB	VEM0033-1-006-001	-50.3	130.417	50.5	2.03	13.64	12.34		10.76	6.63	0.203	0.227	2.9	0.204	5.04	15.44		14.07	4.7	1.66	6.38		7.47		4.66		4.73	0.689	41.2	371	109		50.6	56.6				116	45.8	153				8.23					
MORB	VEM0033-1-005-005	-48.738	127.8	49.85	1.21	16.17	8.98		11.66	8.6	0.15	0.085	2.86	0.113	2.24	8.34		8.14	2.72	1.07	3.73		4.42		2.64		2.55	0.3801	33.6	237	370		135	68.2				135	27.2	86.6				6.02					
MORB	MOA8801-023-001	-49.613	125.658												2.4	7.23		5.92	2.39	0.93		0.61					2.57	0.4	34	193	332		140	83	75			109	25	73				14	1.82	0.14		0.15	0.11
MORB	CHRHYAM-005-001	-34.96	78.54	48.6	1.12	15.6	10.76		11.23	9.6	0.17	0.17	2.3	0.1	3					1.04		0.54								209	447		227						24.6	78	2.5				1.6	0.22		0.26	
MORB	VEM0033-1-004-001	-50.215	137.555	49.45	1.53	14.36	11.24		11.96	8.06	0.187	0.059	2.66	0.126															41.7	303	262		78.4	78.4				111	33.8	101				3.13					
MORB	CHRHYAM-001-005	-40.34	78.65	49.6	0.95	17.1	9.07		13.18	7.75	0.15	0.13	2.1	0.1	1.8					0.79		0.54								252	403		118						26.6	67	2.2				1.56	0.21		0.35	
MORB	CHRHYAM-010-014	-28.9	74.67	49.7	0.82	18.65	7.34		12.68	7.6	0.13	0.07	2.5	0.09	2					0.94		0.46								164	330		124						21.7	64					1.4	0.07		0.09	
MORB	CHRHYAM-006-025	-32.51	77.43	49.9	1.44	14.75	10.71		11.75	7.85	0.18	0.15	2.5	0.12	3.3					1.2		0.76								292	300		101						33.6	100	2.1				2.5	0.18		0.19	
MORB	CHRHYAM-007-002	-31.26	76.5	50	1.23	15.55	9.87		12.26	8.3	0.17	0.19	2.6	0.1	3.9					1.17		0.68								242	354		84						29.5	93	1.8				2.1	0.18		0.19	
MORB	CHRHYAM-009-007	-30.33	75.76	50.1	1.37	15.65	9.95		11.57	7.75	0.18	0.13	2.6	0.12	3.5					1.25		0.76								270	314		92						31.5	95	2.7				2.44	0.19		0.21	
MORB	CHRHYAM-004-043	-34.91	78.67	50.15	1.07	15.69	9.69		12.2	8.64	0.17	0.19	2.1	0.11	4.4					0.93		0.57								251	382		149						26.3	72	4.6				1.76	0.31		0.43	
MORB	CHRHYAM-003-003	-37.52	78.43	50.17	3.05	13.21	15.26		9.03	4.22	0.21	0.66	3.15	0.37	19					2.35		1.14								365	6		24						47.3	197	34				5.1	2.03		2.26	
MORB	CHRHYAM-STPAUL	-38.7	77.5	50.47	1.76	20.46	8.93		11.42	3.17	0.12	0.52	3.1	0.2	9.9					1.45		0.6								198	3		12						22.2	120	13.2				2.9	1.01		1.27	
MORB	CHRHYAM-002	-39.68	78.48	50.91	1.81	14.07	12.62		10.66	5.96	0.2	0.53	3.1	0.2	8.4					1.42		0.86								340	124		58						37.6	122	11.6				3.1	0.68		0.71	
MORB	VEM0033-2-008-002	-49.467	121.033	51.46	1.26	16.79	7.49		11.39	7.37	0.13	0.383	3.28	0.176															33.3	227	301		143	66.8				191	26.7	103				60.5					
MORB	DAR0057-023-002-2B	24.41	-46.228	49.58	1.165	17.82	9.31		11.87	7.13	0.155	0.07	2.73	0.1	2.42	7.84	1.34	7.49	2.63	0.96	3.53	0.67	4.52	0.95	2.9	0.42	2.86	0.45	32.71	229.4	315.5	39.96	122.2	62.62	64.85	15.2	0.89	119.3	28.29	72	1.83		0.016	9.54	1.98	0.128	0.386	0.117	0.035
MORB	DAR0057-011-001-1B	23.923	-46.322	49.89	1.67	16.16	10.74		11.05	6.96	0.18	0.19	2.89	0.16	3.98	12.08	2.05	11.16	3.81	1.35	5.06	0.9	6.03	1.27	3.77	0.6	3.8	0.6	38.43	296.6	224	40.6	82.27	64.28	83.26	16.28	1.55	130.2	38.52	117.7	3.25		0.029	14.15	3.13	0.216	0.638	0.224	0.1
MORB	DAR0057-027-001-1B	23.838	-46.37	50.17	1.565	16.58	9.92		11.4	7.12	0.165	0.265	2.86	0.16	4.08	12.59	2.01	10.98	3.63	1.32	4.79	0.96	5.8	1.26	3.56	0.56	3.62	0.51	35.06	279.2	266.7	40.87	111.81	64.28	75.67	15.85	2.48	130.4	35.74	114.1	3.45		0.034	15.77	2.95	0.205	0.535	0.201	0.271
MORB	DAR0057-021-001-1B	24.307	-46.263	50.325	1.63	15.46	10.71		10.79	7.655	0.18	0.13	3.125	0.16	4.2	13.19	2.08	11.4	3.61	1.31	4.77	0.89	5.74	1.21	3.5	0.52	3.47	0.54	39	301.4	282.6	46.89	116.33	65.85	77.92	15.49	1.45	140.7	36.26	116.6	3.28		0.022	14.94	2.91	0.202	0.604	0.216	0.07
MORB	DAR0057-014-001-1B	24.003	-46.303	50.42	1.31	15.83	9.59		11.525	7.72	0.16	0.235	2.905	0.125	3.57	10.65	1.68	9.16	2.88	1.1	3.79	0.69	4.56	0.97	2.77	0.44	2.7	0.47	36.72	246.9	300.7	41.03	88.26	68.65	62.89	14.8	2.09	145.4	28.75	91.5	3.09		0.026	15.21	2.23	0.186	0.515	0.162	0.084
MORB	DAR0057-022-002-1B	24.328	-46.203	50.48	1.19	16.87	8.86		11.86	8.07	0.15	0.16	2.62	0.11	3.08	8.71	1.43	7.91	2.63	0.97	3.51	0.67	4.1	0.86	2.59	0.37	2.63	0.4	33.61	244.2	387.3	36.41	123.85	62.66	65.21	14.36	2.1	126.2	26.87	78.3	2.6		0.041	13.64	2.07	0.159	0.526	0.191	0.071
MORB	DAR0057-030-001-2C	24.375	-46.232	50.64	1.67	15.32	11.03		10.7	7.25	0.18	0.25	3.1	0.14	3.97	12.23	2.01	10.94	3.56	1.31	4.7	0.86	5.66	1.2	3.57	0.52	3.56	0.56	40.06	313.6	172.8	44.83	97.23	65.79	85.07	17.36	1.9	139	36.07	115	3.08		0.018	14.49	2.77	0.176	1.747	0.194	0.085
MORB	*482/3	29.72	-42.65	47.38	0.88	17.75	2	8.8	11	9.74	0.19	0.08	2.87	0.05	1.12	4.3		4.58	1.84	0.821	3.16		4.34		3.1		3.13		42	184	371	49	203					95	25	51				2.3					
MORB	CHR0098-003-201	33.733	-37.667	47.38	0.87	15.1	9.31		11.39	12.63	0.15	0.09	1.7	0.09	3.58			6.45	2.09	0.7		0.45							27.2	192	1102	49	337		59		1.62	98.2	24	55	5.05			13	1.45	0.35		0.41	0.18
MORB	CHRRI88-014-104-A	17.133	-46.45	47.5	0.91	16.6			10.95	9.1	0.18	0.05	2.68	0.06	1.09			4.18	1.75	0.88		0.562					2.67			216							0.265	90.4	28.5	50	0.78				1.15	0.039		0.018	
MORB	CHR0098-005-101	33.033	-39.333	47.78	1.35	14.53	11.32		11.23	9.2	0.19	0.22	2.35	0.14	2.11			8.02	3.03	1.27		0.97							37.3	274	427	52	171		80		3.22	91.6	35	81	1.24				2.36	0.1		0.07	
MORB	CHR0098-009-201	31.467	-40.95	48.05	1.13	14.88	10.77		11.29	9	0.19	0.06	2.4	0.12	1.89			6.4	2.46	0.95		0.62							35.1	261	325	47	156		68		0.65	89.2	30	61	1.42				1.81	0.11		0.07	
MORB	AII0032-3-012-007	42.96	-29.18	48.64	1.41	14.98	2.08	6.84	11.67	10.6	0.16	0.27	2.22	0.23	12.4	27.1		12.6	3.19	1.18		0.6		0.8			2.22	0.36	36	235	560	42	225	60		15		185	24	95				105	1.9	1.4		2	
MORB	ALV0529-004	36.818	-33.265	48.9	1.08	16			11	9.54	0.16	0.14	2.21		5.06	11.9		8.26	2.5	0.96	3.58	0.64	4.52	0.93	3.07	0.46	3.01	0.43	28	190	560	57	239	64					28	58	7.9			46	1.71			0.45	0.2
MORB	CHRRI88-027-101	20	-45.7	49	1.14	15.8			11.98	8.95	0.15	0.09	2.35	0.1	2.07			6.64	2.49	1.03		0.597					2.32			214							0.656	93.5	27.5	71	1.75			29.8	1.83	0.105		0.099	
MORB	CHRRI88-029-101	21.65	-45.25	49	0.88	18.56			13.18	7.14	0.12	0.09	2.51	0.08	2.05			5.65	1.97	0.85		0.467					1.73			180							0.633	132.8	21	62	1.6			7.9	1.57	0.117		0.104	
MORB	CHRRI88-031-101	23.217	-44.967	49.1	1.78	15.1			10.9	7.45	0.17	0.14	2.92	0.17	3.84			11.98	4.11	1.63		0.95					3.73			291							0.482	129.6	35.6	123	2.66				3.17	0.169		0.141	
MORB	ODP0109-0648B-016R-001/73-75	22.922	-44.94709	49.27	1.63	15.47			11.42	8.06	0.18	0.09	3	0.17	4			11.53	3.77	1.39	5.55		6.43				4.23		35.3	330	255	36	109		78		2.68	149	45	103			0.02	5		0.17		0.07	0.77
MORB	CHRRI88-023-102	19.233	-46.017	49.36	1.44	15.23			11.75	8.09	0.16	0.16	2.57	0.13	3.26			9.96	3.74	1.33		0.772					2.95			276							1.18	124.4	33.1	96	2.27				2.6	0.15		0.109	
MORB	CHRRI88-026-101	19.583	-45.95	49.4	1.06	15.5			12.33	9.2	0.14	0.06	2.28	0.09	1.81			6	2.22	0.96		0.557					2.3			231							0.258	96.7	25.1	68	1.26				1.59	0.077		0.081	
MORB	HUD1966-056-004	45.217	-28	49.43	1.21	16.32	1.29	7.9	11.6	8.85	0.14	0.27	2.25	0.11	6.4				2.9	0.9		0.7					2.9	0.39	33	370	919	40	168	110	76		4.9	108	23	66	8			59			2		
MORB	ARGLSDA-003	-5.78	-11.42	49.48	1.39	16.72	1.16	7.58	11.14	8.2	0.19	0.24	2.66	0.12	6.2		2.7	20	6.6	1.9	7.1	1.47		1.8		0.76	4.5		44	280	320	34	140	86		17		160	47	88				19			1.15		
MORB	*482/7	40.68	-29.22	49.57	0.73	16.66	1.45	7	13.1	8.53	0.15	0.09	1.94	0.07	1.98	5.26		4.15	1.46	0.6	2.21		2.73		1.79		1.7	0.253	43	212	459		122				1.5	84	20	37	3			19.8					
MORB	ABP0016-023-001	33.2	-39.19	49.64	1.19	14.82			12.13	7.76	0.18	0.04	2.71	0.08	2.3	8.2		7.4	2.5	1.03	3.8		4.8		3.2		2.9		45	273	260		41					96	31	72				15					
MORB	CHRRI88-030-101	21.817	-45.217	49.7	1.16	15.5			12.15	8.57	0.15	0.09	2.6	0.1	2.3			7.1	2.54	1.07		0.588					2.33			246							0.459	114.7	27.5	76	1.58				2.04	0.101		0.088	
MORB	CHN0044-002-001	22.633	-44.967	49.74	1.53	16.52	2.06	7.19	11.69	7.41	0.16	0.21	2.7	0.06	3.4	5.8	1.9	9	4.4	1.5	6.8	1.3	5	1.4	4.8	0.62	3	0.57		225	285	70	120	105	145	27	1.53	115		105		12		9			10		
MORB	CHR0098-008-105	31.9	-40.967	49.8	1.83	13.99	12.8		10.44	6.62	0.22	0.21	3	0.19	10.4			15.93	4.81	1.62		1							37.5	350	150	46	66		98		3.17	147.8	46	145	13.09			55	3.55	0.8		1.29	0.3
MORB	ABP0016-028-003	33.8	-37.76	49.87	1.07	15.31			11.95	8.87	0.16	0.1	2.06	0.09	4.6	11.3		7.6	2.4	0.91	3.4		4.1		2.7		2.6		40	257	421		104					107	27	61				44					
MORB	ALV0523-001	36.827	-33.252	49.9	1.09	15.8	0.64	8.14	11.6	8.83	0.15	0.22	2.03	0.26	6.54	14.6	1.9	9.35	2.59	0.946	3.32	0.55	3.92	0.78	2.48	0.37	2.3	0.35	33	255	700	43	177	88	69				24	67	11.1			75	1.65			0.7	0.22
MORB	CHRRI88-015-201	17.305	-46.433	49.95	1.29	15.45			11.68	8.28	0.16	0.09	2.93	0.11	2.47			7.95	2.91	1.22		0.719					2.81			244							0.695	109.9	31.8	88	2.19				2.14	0.124		0.098	
MORB	CHRRI88-020-201	18.66	-46.283	50	1.31	15.2			12	8.5	0.15	0.11	2.65	0.13	2.98			7.73	2.6	1.26		0.698					2.54			253							0.46	127	25.8	84	1.89			10.1	2.3	0.133		0.129	
MORB	CHRRI88-012-103	16.633	-46.483	50.1	1.61	14.6			10.85	8	0.17	0.42	2.92	0.22	7.24			11.92	3.63	1.34		0.779					2.86			261							6.007	163.4	35.3	120	11.05			71.1	2.77	0.684		0.703	
MORB	CHRRI88-009-301	15.74	-46.593	50.2	1.54	14.67			10.86	8.24	0.16	0.26	2.75	0.19	6.23			11.65	3.59	1.31		0.732					2.71			269							3.81	165.5	33.2	111	9.83			49.1	2.52	0.572		0.422	
MORB	CON2802-023-008	-26.3323	-13.794	50.56	1.67	15.3			11.31	7.55	0.17	0.1	2.6	0.14	3.21	11.1			3.85	1.39		0.94					3.73	0.57	38.8		290		110					110		160					2.97				
MORB	CHRRI88-018-103	18.258	-46.667	50.6	1.16	15.2			12.38	8.6	0.15	0.12	2.76	0.11	2.2			6.78	2.47	1.13		0.609					2.46			248							0.588	117.6	27.7	76	2.09			6.6	2.05	0.12		0.093	
MORB	CHRRI88-021-102	18.817	-46.267	50.6	1.28	14.9			11.94	8.2	0.15	0.14	2.59	0.13	2.73			6.59	2.09	1.19		0.641					2.36			250							0.383	121.9	28	95	2.25			9.4	2.26	0.151		0.11	
MORB	CON2802-024-001	-26.437	-13.7633	50.63	1.54	15.63			11.41	7.85	0.16	0.07	2.55	0.13	2.92	10.7			3.52	1.28		0.87					3.31	0.47	36.8		353		120	76.5	81			130	33.3	150					2.78				
MORB	GIL0104-002-001	24.157	-46.268	50.63	1.51	15.62		7.51	11.82	7.82	0.17	0.19	2.82	0.15	3.91	10.15			3.41	1.12		0.76	4.51				2.75	0.43	35	264	267	43	91	74	70		3.5	142	34	107					2.47	0.18			
MORB	CON2802-019-001	-26.0142	-13.8437	50.64	1.21	15.27			12.02	8	0.15	0.05	2.53	0.1	2.23	7.7			2.69	1.03		0.69					2.71	0.39	39.3		385		71					110		110					2			0.11	
MORB	CON2802-027-003	-26.4933	-13.755	50.68	1.43	15.39			11.4	8.92	0.16	0.07	2.34	0.12	2.83	9.5			3.28	1.16		0.84					3.18	0.45	36.9		473		200					90		120					2.53				
MORB	CHN0115-4-001-001	-54.598	-0.968	50.95	2.06	15.11	1.3	8.93	10.45	7.27	0.15	0.56	2.61		12.1	31		17.6	4.81	1.73	6.1	1		1.3			3.26	0.55	41.6	345	285	55	90	50		19	23	245	47	200				130	4.2	1.1			
MORB	PIL7003-012	10.967	-43.7												2.7	7.7		10.2	3.57	1.23		0.82					3.6		36.9		350	40.4	134				0.583	117.4	32.6	103	2.07			4	2.8	0.128		0.14	0.08
MORB	PIL7003-030	11.478	-43.63												3.4	9.1		10.89	3.77	1.38		0.87					3.9		38.1		304	44.5	148				1.01	129.3	33.1	110	2.29			3.1	3	0.156		0.14	
MORB	PIL7003-032-D	11.425	-43.575												2.2	7.3		9.44	3.34	1.23		0.77					3.5		38.3		346	40.8	97				0.428	118.5	29.9	92	1.47				2.5	0.101		0.1	
MORB	TRI0123-004-007	33.37	-39.08	46.95	0.77	16.59	0.62	9.09	11.16	11.6	0.16	0.04	2.15	0.05	0.5			2.8	1.5	0.8		0.4					3	0.34	38		810	60	300				0.22	55					0.001	1.3					
MORB	TRI0089-031-001	39.63	-29.71	47.5	2.02	16.86	2.89	6.45	10.96	7.98	0.15	0.78	2.69	0.33	25			26.5	5.3	1.8		0.9					1.5	0.25	22	247	272	48	127				9.92	495					0.113	238					
MORB	TRI0119-008-001	34.94	-36.61	48.18	1.84	14.58	1.7	8.79	10.87	8.94	0.17	0.71	2.39	0.32	17.4			17.7	4.9	1.7		1					2.3	0.57	43		539	53	168				18.5	262					0.18	207					
MORB	N-1	28.88	-43.33	48.26	0.94	17.05	1.32	8.19	11.38	9.89	0.17	0.05	2.46	0.05	1.6	5.8		4.1	1.9	0.9		0.7				0.51	2.4	0.34	38	192	401	50	247				0.26	110					0.003	2.6					
MORB	ALV0527-001-001	36.808	-33.26	48.6	0.61	16.3	0.33	8.4	12.3	10.2	0.15	0.07	1.9	0.06	2.15	5.24	0.75	4.07	1.37	0.53	2.2	0.41	3.12	0.7	2.22	0.36	2.27	0.35	34	140	510	48	232	79	51				24	31	3.02			20	0.8			0.22	0.07
MORB	ATL0150-007	30.07	-39.27	49	1.58	15.7	1.74	8.42	10.6	8.2	0.19	0.11	2.55	0.15	2.8	18	2.1	9	3.4	1.1	6.5	0.9		1.7	4.67	0.79	3.2	0.5	42	289	473	49	154				1.22	101	34				0.017	8.8					
MORB	ARGLSDA-005-005	9.65	-40.45	49.02	1.46	18.04	1.58	6.22	11.51	7.85	0.13	0.08	2.92	0.12													3	0.404	38	240	280	26	78	73		11		90	30	62				5	2.137				
MORB	CHR0077-006-203	14.12	-45	49.13	1.05	16.02			12.14	9.47	0.16	0.43	1.98	0.16	6.1			9.18	2.5																		7.1	198	24.2	84	11.7			63	1.8	0.73		0.69	
MORB	ARGLSDA-002-001	-20.67	-13.27	49.2	2.03	16.09	2.72	7.77	10.46	6.44	0.18	0.14	3.01	0.23	5	11.8	2.1	9.7	4.3	1.7	5.5	1.19		1.5		0.56	3	0.69									1.14	134	33				0.015		4.68			0.13	0.16
MORB	CHR0098-006-101	32.283	-40.35	49.29	1.48	14.28	11.79		11.21	8.2	0.2	0.08	2.45	0.16	2.47			8.29	3.13											294	282	46	121		83		0.89	90.7	37	88	2.12								
MORB	TRI0119-007-001	35.33	-34.9	49.52	1.27	15.77	1.82	6.12	13.41	8.54	0.14	0.67	2.03	0.26	24.4			15.8	3.2	1.5		0.9					2.7	0.27	44		706	38	120				14.4	264					0.159	205					
MORB	TRI0154-018-002	41.18	-29.31	49.72	0.81	16.13	0.8	7.94	12.26	10.07	0.16	0.08	1.93	0.07	3.2	8.1		5	1.8	0.8		0.5				0.41	1.9	0.25	42	224	574	49	203				1.84	77					0.02	25					
MORB	P-1	29.07	-43.02	49.79	1.52	15.38	2.22	7.99	11.18	7.93	0.18	0.21	2.72	0.16	3.9	13.8		10.4	3.6	1.5		1				0.7	4.1	0.62	45	310	285	45	139				2.09	115					0.037	14					
MORB	TRI0154-016-003	42.39	-29.4	49.83	1.05	15.58	1.18	8.2	11.83	9.58	0.16	0.17	2.16	0.11	4.8	12.1		8.4	2.7	1		0.7				0.48	2.9	0.42	42	238	598	49	195				3.49	89					0.04	40					
MORB	TRI0138-003-001	47.78	-27.64	49.84	1.15	15.54	1.35	7.61	11.68	9.51	0.16	0.21	2.38	0.13	4.9	12.7		8.8	2.9	1		0.6				0.43	2.1	0.37	36	232	423	45	189				3.65	128					0.039	46					
MORB	TRI0123-001-006	34.23	-37.151	49.86	1.15	15.4	1.28	8.94	12.05	7.94	0.17	0.12	2.12	0.13	4.5			6.7	3.5	1.3		1					4.5	0.68	50	235	567	43	106				2.55	67					0.03	27					
MORB	TRI0123-005-003	32.62	-39.87	49.88	1.54	14.67	1.37	10.04	11.1	7.55	0.19	0.05	2.52	0.16	3			9.1	3.6	1.3		0.8					4.7	0.48	43		262	47	86				0.56	87					0.007	6.4					
MORB	TRI0138-001-002	46.23	-27.39	49.88	1.13	16.45	1.93	6.24	12.6	8.31	0.14	0.38	2.44	0.14	7.1	14.7		9.4	2.7	0.9		0.6				0.36	2.4	0.27	34	244	373	38	141				6.6	176					0.116	75					
MORB	TRI0154-014-001	44.82	-28.04	49.94	1.18	15.39	1.07	7.07	11.96	9.32	0.14	0.31	2.17	0.17	8	18.3		12.2	3.1	1.2		0.7				0.58	2.6	0.4	38	246	493	44	192				6.28	142					0.075	76					
MORB	TRI0154-021-003	38.89	-30.05	49.98	1.37	16.17	1.7	6.77	13.1	7.33	0.14	0.56	2.36	0.23	16.4	37		17.7	4.1	1.4		0.8				0.71	2.4	0.29	40	273	168	39	65				14	254					0.154	184					
MORB	TRI0138-002-003	47.05	-27.35	50.01	0.96	16.36	0.82	7.54	11.81	9.5	0.15	0.08	2.39	0.1	2.6	7.8		7.2	2.2	0.9		0.6				0.35	2	0.28	37	200	451	46	185				1.56	106					0.021	19					
MORB	TRI0138-005-001	49.52	-28.54	50.04	1.9	14.55	1.72	9.54	10.41	7.64	0.19	0.2	2.86	0.2	5.2	15.8		15	5.3	1.8		1.3				0.75	4.8	0.68	43	298	263	45	121				1.72	98					0.034	16					
MORB	AII0107-7-013-001	-37.833	-17.142	50.08	1.27	17.8	2.44	6.4	12.45	7.06	0.16	0.07	2.2	0.1	3.23	9.5		8.6	3.57	1.24	4.7	0.79				0.47	3.06	0.4		254	281	39	102	62	71		3.9	117	33	90	2.8			29					
MORB	ARP1974-011-018	36.85	-33.25	50.1	1.02	16.06	1.15	7.65	12.09	8.92	0.15	0.16	2.09	0.14	6.1	10				0.9		0.51							34.4	212	388	50.4	174	65.4	73.4	14.7	2.5	110	22.8	56.8	6.7			36	1.6	0.55		0.484	0.159
MORB	AII0107-7-018-028	-34.553	-15.147	50.14	1.25	17.28	2.14	7.11	11.91	7.69	0.16	0.07	2.47	0.11	2.59	9.3		9.1	3.51	1.24	4.8	0.78	5.6			0.57	3.36	0.43		243	271	43	123	65	68		2.2	117	34	91	2.3								
MORB	TRI0154-019-003	40.74	-29.25	50.18	1.02	15.51	0.97	8.55	12.22	9.22	0.17	0.11	1.98	0.09	3.1	7.9		4.8	2.2	0.9		0.6				0.47	2.4	0.38	40	249	491	46	152				1.96	69					0.024	24					
MORB	AII0107-7-006-020	-41.248	-16.603	50.23	1.34	15.87	2.32	7.6	11.74	8.27	0.18	0.12	2.49	0.14	3.6	10.9		9.4	3.5	1.28	5.7	0.76				0.54	3.13	0.47		268	316	45	135	75	75		3	114	35	95	2.8								
MORB	AII0107-7-025-002	-31.833	-13.578	50.31	1.34	17.42	3.19	5.82	12.09	7.03	0.16	0.33	2.48	0.13	4.54	15		10.9	3.65	1.38		0.81	5.3			0.55	3.25	0.42		257	258	38	104	61	67		7.8	148	33	105	6.6			39					
MORB	AII0107-7-010-001	-38.882	-16.24	50.32	1.5	15.29	2.3	8.08	11.46	8.73	0.18	0.14	2.16	0.14	4.89	13.8		11.3	3.89	1.4	6.3	0.86				0.59	3.69	0.48		316	315	46	161	74	82		3.4	123	39	109	4.2								
MORB	TRI0119-004-004	36.85	-33.23	50.34	1.45	14.65	1.23	9.43	11.38	8.53	0.19	0.31	2.22	0.17	8.5			11.3	3.8	1.1		0.8					2.9	0.44	40	311	583	47	134				4.6	114					0.089	91					
MORB	AII0073-1-005-002	36.71	-33.293	50.39	1.28	15.39	1.34	8.66	12.29	7.67	0.17	0.13	2.11	0.15	6				3	0.9		0.7					2.1	0.43	42	303	380	46	99				4.1	111					0.052	49					
MORB	AII0107-7-007-003	-40.438	-16.75	50.4	1.36	15.19	2.23	8	11.43	8.96	0.18	0.09	2.3	0.14	2.95	12		9.9	3.91	1.41	6.4	0.94	5.6			0.65	3.61	0.5		284	346	48	177	67	80		2.3	98	37	97	2								
