AFFINITY	SAMPLE_ID	LATITUDE	LONGITUDE	SIO2(WT%)	TIO2(WT%)	AL2O3(WT%)	FE2O3(WT%)	FEO(WT%)	CAO(WT%)	MGO(WT%)	MNO(WT%)	K2O(WT%)	NA2O(WT%)	P2O5(WT%)	LA(PPM)	CE(PPM)	PR(PPM)	ND(PPM)	SM(PPM)	EU(PPM)	GD(PPM)	TB(PPM)	DY(PPM)	HO(PPM)	ER(PPM)	TM(PPM)	YB(PPM)	LU(PPM)	SC(PPM)	V(PPM)	CR(PPM)	CO(PPM)	NI(PPM)	CU(PPM)	ZN(PPM)	GA(PPM)	RB(PPM)	SR(PPM)	Y(PPM)	ZR(PPM)	NB(PPM)	SN(PPM)	CS(PPM)	BA(PPM)	HF(PPM)	TA(PPM)	PB(PPM)	TH(PPM)	U(PPM)
OIB	2714-RE24-1	-21.25	55.75												21.9	49	6.47	27.4	6.4	2.16	6.43		5.78	1.12	2.88		2.32	0.335									20.6	361	28.9	201	26.5	1.93	0.291	200			2.06		0.629
OIB	13358	-21.23	55.6	48.27	2.74	14.12	4.01	7.39	11.04	7.89	0.16	0.66	2.93	0.14	20.1	42				2.2		0.87							33.5		251	46	122				14.6	423		202			0.22	135	4.9	1.75		2.39	0.6
OIB	14628	-21.25	55.75	48.96	2.69	14.68			11.86	6.74	0.17	0.81	2.64	0.34		49.7		28.6	6.79	2.25	6.61		5.93		2.91		2.38			321	272	41	96	100			21	387		193			1.2	181				2.5	
OIB	2343-RE168	-21.23	55.66	47.28	2.75	14.55	2.45	9.7	10.03	8.74	0.18	0.84	2.78	0.44																225	265		230	180	90		25	425	32	210				410					
OIB	2510-RE493	-21.24	55.73	47.12	2.79	14.28			9.56	8.91	0.18	1	3	0.4	27	61		33	7.3	2.4	7.1		5.9		2.8		2.2	0.32	30	295	392		199	63	112		25	456	29	240	28		0.25	211				3	
OIB	19189	-21.25	55.75	49.1	2.62	14.91	6.55	4.81	11.21	6.84	0.17	0.74	2.57	0.27																280	125		100	95	150		15	310	30	180				190					
OIB	3795-RE634	-21.25	55.75	49.15	2.99	14.79	1.59	9.96	10.99	6.03	0.18	0.81	2.87	0.31																295	5		75	135	105		15	340	42	205				210					
OIB	3802-RE512	-21	55.85	45.8	1.86	13.82	4.86	6.55	13.32	11.22	0.15	0.5	1.65	0.17	12	27		16	3.7	1.3	3.7		3.2		1.6		1.2	0.18	46	379	466		223	122	70		12	359	17	104	13		0.09	109				4	
OIB	11246	-21	55.85	45.67	2.42	19.65			12.44	3.8	0.15	0.69	2.45	0.23	14	35		20											31	393	27		27	101	80		18	532	23	144	18			164				5	
OIB	3825-RE335	-21.2	55.35	45.98	2.49	18.76	8.1	3.5	12.38	4.11	0.16	0.69	2.41	0.26	21	34		26											30	384	31		31	89	84		19	507	25	158	19			165				5	
OIB	19233	-21.15	55.31	45.89	3.04	16.71	3.06	10.09	12.51	4.11	0.18	0.76	2.75	0.33																380	5		10	260	80		17	460	30	155				405					
OIB	19234	-21.18	55.54	46.35	2.69	17.87	1.49	11.34	10.7	4.03	0.21	0.79	2.89	0.19																340	5		20	300	80		18	455	30	95				360					
OIB	2349-RE243	-21.05	55.54	46.2	1.92	11.08	3.06	8.96	8.82	13.37	0.18	0.23	1.99	0.28																225	600		730	200	110		5	270	30	155				137					
OIB	2354-RE69	-21.21	55.46	48.45	2.17	14.71	4.42	7.4	11.06	6.57	0.17	0.48	2.48	0.37																290	180		150	250	90		7	335	40	175				180					
OIB	11168	-21	55.85	45.68	2.31	12.23			10.8	13.1	0.18	0.41	2.04	0.27	18	42		23	5.4	1.8	5.5		4.7		2.3		1.9	0.28	38	319	927		432	100	98		4	323	24	171	23		0.05	145				0	
OIB	13346	-21.91	55.4	45.42	3.32	14.4	4.34	10.42	11.85	5.4	0.23	0.91	3.1	0.41	22.9	56				2.44		0.9							37		83	56.7	33				26.2	455		244			0.17	205	5.3	2.03		2.74	0.61
OIB	2353-RE180	-21.18	55.54	48.4	2.37	15.57	3	8.96	11.34	5.19	0.18	0.49	2.73	0.4																275	70		70	170	100		5	390	35	195				205					
OIB	3349-RD102	-19.7	63.42	49.69	1.66	17.42			7.8	4.93	0.16	2.02	3.14	0.52	42	74		30											18	146	103		59	37	83		54	436	32	220	57			761			9.8	6.9	
OIB	18073	-19.7	63.42	47.44	1.7	16.07			10.37	9.29	0.14	1.29	2.86	0.34	25	43		18											29	213	364		189	56	62		30	482	24	143	36			378			6.2	4.4	
OIB	63525	-14.16	-169.61												42.6	82.4		43.6	10.2	3.04			7.1		2.94		2.26						90				11	545		360									
OIB	30338	-14.22	-169.5															36.5	8.1																		17	299									2.12	3.58	1.2
OIB	2156-S-17	-14.22	-169.4												55.9	64.5		33.8	7.9	2.37							2.15						420				20.1	440		263									
OIB	2713-82MT-15	-14.24	-169.45												29.8	67.7	9.06	38.2	8.8	2.84	8.52		6.82	1.15	3.06		2.31	0.33									18	295	32	231	36.4	2.68	0.203	191	6.53		2.43	3.4	0.74
OIB	14221	-14.27	-169.49												27.5	54.1		30.6	7.75	2.37	7.04		6.26		2.78		2.16						165				8.1	430		440									
OIB	170756	-14.218	-169.509	46.6	3.54	12.41			10.98	10.13	0.19	0.92	2.43	0.45	29.2	62.19	8.14	34.7	8.35	2.55	7.92	1.14	6.14	1.11	2.78	0.37	2.14	0.32	21.5	336	579		214	72	111	19	19.9	437	29.41	223	35.18		0.12	178	5.97	2.52	2.02	2.77	0.73
OIB	14209	-14.22	-169.5												39.5	75.4		40.2	9.46	2.86	8.82		7.38		3.17		2.49						88				10.2	505		318									
OIB	170925	-13.2673	-172.3106	46.05	2.83	11.76			9.28	13.75	0.16	1.19	2.66	0.35	26.43	56.59	7.15	28.34	6.13	1.92	5.84	0.85	4.73	0.85	2.09	0.27	1.54	0.22	20.8	231	594		412	66	124	19	31	437	20.49	175	36.65		0.36	288	4.47	2.4	2.38	2.91	0.7
OIB	170914	-13.2637	-172.3841	46.83	3.11	14.7			9.18	10.16	0.16	1.08	2.62	0.31	20.37	44.97	5.94	24.21	5.5	1.83	5.38	0.81	4.64	0.86	2.19	0.3	1.72	0.25	21.5	265	526		202	54	122	22	16.8	394	21.05	189	36.51		0.13	323	4.74	2.58	2.06	2.23	0.73
OIB	170915	-13.3058	-172.6411	46.33	3.37	12.7			9.26	11.01	0.15	2.1	3.28	0.56	41.9	87.77	10.91	41.94	8.42	2.62	7.48	1.03	5.47	0.95	2.24	0.28	1.59	0.22	18.7	224	440		281	63	132	21	55.2	679	23.34	267	67.26		0.62	543	6.35	4.15	4.22	4.93	1.19
OIB	170805	-13.4469	-172.3864	45.57	3.16	12			10.07	13.09	0.17	0.49	3.21	0.46	34.48	68.38	8.08	34.15	8.02	2.6	7.42	1.08	5.73	0.98	2.26	0.29	1.6	0.22	24.7	258	568		383	50	101	17	116.3	564	24.9	189	42.42		0.52	435	4.91	2.97	3.92	3.46	0.72
OIB	1756-SAV-B-8	-13.5	-172.5	45.99	3.41	12.72			10.54	12.12	0.17	1.92	3.34	0.71	60.9	112	13.21	49.72	9.82	3.02	8.15	1.15	6.25	1.09	2.5	0.31	1.84	0.25	23	287	481		252	47	115	22	52.6	711	31.7	261	84.5		0.64	504	6.42	4.31	4.9	6.24	1.54
OIB	170927	-13.3596	-172.2673	45.94	3.27	12.59			9.79	11.95	0.17	1.32	2.32	0.27	19.08	44.93	6.04	25.09	5.62	1.85	5.38	0.77	4.29	0.77	1.9	0.25	1.43	0.2	22.5	266	552		302	83	123	21	38.6	409	18.63	211	47.12		0.51	314	5.53	3.45	1.72	1.88	0.46
OIB	6429-TUT-9	-14.3	-170.7	46.5	3.75	12.3			9.42	9.9	0.16	1.07	2.7	0.51	33.3	72.5		41.2	9.98	3.09	8.51	1.2					1.93				543		310				21	516	29	254	37			286	6.68	2.95	2.79	4.25	
OIB	1077-TLW67-77	-14.3	-170.7		2.31	13.8			9.9	7.3	0.15	0.36	2.23		8.8	23.4		20	4.79	1.7		0.76	4.6				2	0.25	29	280	240	42	100					305		120				80	3.6	0.5		0.6	0.2
OIB	1875-ST-26	-14.3	-170.7	47.1	3.96	12.8			8.53	8.5	0.17	0.93	2.8	0.51	30.1	74.6		43	10.8	3.5	10.5	1.5					2.42				310		213				22	486	35	271	38			244	7.03	3.13	3.61	4.26	
OIB	170902	-13.8537	-171.6886	48.06	4.24	15.2			9.73	5.38	0.16	1.37	3.22	0.63	45.1	96.38	13.21	53.08	11.24	3.6	10.52	1.46	8.11	1.49	3.69	0.47	2.69	0.38	22.2	312	105		72	71	144	25	32.3	683	39.25	324	52.18		0.2	311	7.79	3.26	2.82	3.79	1.07
OIB	30501-U10	-13.9283	-171.9813	45.46	3.91	13.21			11.27	8.97	0.19	1.52	2.05	0.34	23.29	48.32	5.93	26.24	6.77	2.25	6.6	1.03	5.59	1	2.38	0.3	1.7	0.24	28	346	433		142	51	106	21	42.8	475	25.19	155	30.02		0.35	341	4.41	2.22	3.11	2.16	0.56
OIB	170932	-14.0357	-171.4619	45.13	3.96	11.67			9.87	11.94	0.16	1.51	2.88	0.56	36.96	79.28	9.96	39.79	8.54	2.61	7.84	1.09	5.89	1.02	2.38	0.3	1.66	0.23	21.2	257	430		327	81	134	20	56.8	613	24.32	203	45.98		0.47	466	5.24	2.85	2.99	3.73	0.87
OIB	6880-73-332	-16.514	-151.717		2.84										25.08	57.44	7.71	32.55	6.82	2.01	6.11	0.97	4.92	0.91	2.2	0.32	1.75	0.26	24.72	259.8	602.8	60.6	413.94	63.3	106.2	18.45	32.85	482.1	26.47	243.9	27.52			268	5.54	1.84	2.89	3.27	0.77
OIB	31857	-16.46	-151.74	47.08	2.22	12.7	6.54	4.37	10	10.05	0.14	1.22	2.25	0.61	30.6	62.1			7.6	2.2		1.04					1.91	0.3	25	233	650	47	342	68	112		21	519	25	205	26			350	5.1			4.2	
OIB	6883-73-95	-16.817	-149.954		2.59										41.76	88.4	10.84	42.2	8.15	2.35	6.85	1.09	5.3	0.93	2.19	0.3	1.72	0.25	24.29	222.1	518.5	47.79	326.54	46.69	121.1	20.58	33.3	588	27.68	296.3	45.36			476.1	6.72	2.63	4.92	9.08	1.62
OIB	19062	-16.75	-151	46.59	2.68	11.66			9.08	13.06	0.16	1.85	2.08	0.43	35.7	76.94	8.67	32.6	6.96	2.21	6.55		4.32	0.83	1.85		1.47	0.21					353				41	544	21	251	34			454			3.8	5.8	
OIB	6879-73-204	-16.438	-152.262		2.97										30.16	78.86	9.34	37.6	7.78	2.29	6.48	1.04	4.95	0.89	1.97	0.26	1.46	0.24	22.37	239.4	700.8	61.8	355.55	61.84	117.5	19.05	39.55	526.5	24.56	227.5	37.97			410.4	6.42	2.13	3.91	6.88	1.63
OIB	19808	-17.92	-148.03		3.4										37.14	83.29	10.61	43.09	9.43	2.85	8.21	1.26	5.98	1	2.21	0.28	1.54	0.21	24.91	297.8	682	62.01	380.75	74.88	127.7	20.54	21.3	671	28	261.2	40.87			344.9	6.2	2.27	3.07	5.21	1.44
OIB	4726-P1-1	-17.92	-148.03	45.3	3.73	13.33	3.82	7.71	9.75	7.79	0.17	2	3.3	0.66		105		54.6	11.4	3.48	9.96		6.92		2.82		2			274	249	45	160	59	126		49	774	38	354	48			467			5.2		
OIB	19813	-17.52	-149.78		1.59										88.95	187.61	22.19	81.07	16.06	3.72	12.79	2.05	9.96	1.78	4.26	0.64	3.61	0.54		103.8	237.6	26.67	137.09	22.94	189.3	29.27	116.73	349.2	47.36	988.3	98.37			285.7	20.78	6.22	11.85	16.77	4.06
OIB	2792-33S	-17.52	-149.78	46.08	3.28	13.44	5.29	6.58	11.18	8.2	0.06	1.19	2.28	0.46	34.9	75.2			9.7	2.91		1.27					2.09	0.32	27	307	332	52	190	77	117		21	670	34	240	37			600	5.8			4.7	
OIB	1400-TAA-B-7	-16.5	-151.5	48.68	2.9	12.31			9.65	11.93	0.16	2.2	2.2	0.45	44.2	86.5	10.83	43.95	8.85	2.58	7.33	1.01	5.69	1.05	2.51	0.32	1.81	0.27	26	237	567		317	39	108	21	45.9	592	27.8	281	54.6		0.43	500	7.78	2.95	4.53	6.51	1.71
OIB	6881-73-185	-16.605	-151.442		3.68										77.81	174.84	22.31	82.38	13.72	3.48	9.93	1.52	7.05	1.19	2.85	0.38	2.25	0.32	21.05	212.4	297.3	40.96	180.97	40.35	136.13	25.83	101.93	930.2	33.54	683.7	73.21			556.6	16.11	4.53	11.22	14.09	3.35
OIB	37041	-16.5	-151.5	45.51	3.31	11.22	10.33	2.56	7.08	10.89	0.13	2.02	1.49	0.31	317	420		780	207	64.1		28.3	150				120	18.5	29.3		592	162	624				30.7	827					0.25	624	6.05	2.89		5.37	0.73
OIB	31855	-16.5	-151.5	47	3.2	12.12	4.64	6.9	9.15	10.48	0.15	1.82	2.21	0.52	40.7	82.9			9.6	2.85		1.21					2.1	0.3	24	246	500	56	285	51	116		34	595	30	298	40			450	8.3			5.8	
OIB	21921	-16.5	-151.5	49.18	2.48	11.77			8.14	11.28	0.15	1.33	1.62	0.3	52.7	213		121.4	49.1	26.47		19.96	97				103	18.84	25.1		634	71.4	574				27	695		228			0.23	309	6.57	1.83		4.09	0.79
OIB	19823	-16.5	-151.5		3.05										32.91	73.72	9.21	37.81	8.06	2.35	7.1	1.09	5.27	0.9	2.06	0.27	1.53	0.21	26.99	279.2	730.4	60.11	385.35	58.51	128.26	21.81	39.79	757	26.68	233.9	42.14			429.6	5.37	2.3	3.34	4.61	1.13
OIB	1629-TH-1	-17.7	-149.45	45.89	2.38	8.52	6.93	4.67	11.88	16.83	0.18	0.64	1.44	0.25																230	1376	77	464	66			11.3	321	18.6	177	18.9			160					
